Date,Close,Open,High,Low,Volume
2016-10-04,13.72,13.38,13.72,13.38,353338.0
2016-10-05,13.29,13.72,14.15,13.29,569726.0
2016-10-06,13.51,13.29,13.63,13.29,264911.0
2016-10-07,13.63,13.63,13.63,13.46,110902.0
2016-10-10,13.72,13.68,21.64,13.63,6253.0
2016-10-11,14.02,13.81,14.15,13.72,158436.0
2016-10-12,14.02,14.02,14.58,13.72,160545.0
2016-10-13,13.81,14.15,14.15,13.72,265820.0
2016-10-14,13.81,13.76,13.81,13.76,45516.0
2016-10-17,13.81,13.85,13.85,13.81,20563.0
2016-10-18,13.72,13.84,13.84,13.69,464291.0
2016-10-19,13.71,13.51,13.72,13.51,140446.0
2016-10-20,13.63,13.63,13.72,13.51,653858.0
2016-10-21,13.46,13.42,13.55,13.29,27538.0
2016-10-24,13.45,13.51,13.51,13.29,130314.0
2016-10-25,13.36,13.3,13.36,13.08,6159.0
2016-10-26,13.25,13.29,13.29,13.16,52294.0
2016-10-27,13.03,13.16,13.16,13.0,271128.0
2016-10-28,13.03,13.03,13.25,12.86,2185191.0
2016-10-31,13.03,13.08,13.08,12.86,25864.0
2016-11-01,12.86,12.86,12.86,12.78,11800.0
2016-11-02,11.66,12.69,12.69,11.58,509897.0
2016-11-03,11.66,11.79,11.83,11.66,122275.0
2016-11-04,12.0,11.66,12.0,11.66,603640.0
2016-11-07,12.09,12.09,12.22,12.09,2250.0
2016-11-08,12.18,12.0,12.22,11.92,335116.0
2016-11-09,12.05,11.92,12.13,11.92,106276.0
2016-11-10,12.2,12.09,12.2,12.09,2629003.0
2016-11-11,12.61,12.35,12.78,12.35,13372.0
2016-11-14,12.35,12.61,12.82,12.35,121500.0
2016-11-15,12.28,12.35,12.39,12.28,798608.0
2016-11-16,12.09,12.31,12.31,12.09,65584.0
2016-11-17,12.05,12.09,12.09,12.0,60400.0
2016-11-18,12.09,12.09,12.13,11.92,728650.0
2016-11-21,12.0,12.0,12.04,12.0,28025.0
2016-11-22,12.05,12.05,12.05,12.05,100008.0
2016-11-23,12.0,12.0,12.0,12.0,50000.0
2016-11-28,12.13,12.05,12.13,12.05,542.0
2016-11-29,11.79,12.13,12.13,11.79,124579.0
2016-11-30,11.96,11.88,11.96,11.83,291546.0
2016-12-01,11.97,12.01,12.01,11.97,127275.0
2016-12-02,11.88,11.92,11.92,11.7,18375.0
2016-12-05,12.39,12.13,12.43,12.0,530574.0
2016-12-06,13.38,13.12,13.42,12.86,925616.0
2016-12-07,13.29,13.36,13.38,13.25,523662.0
2016-12-08,13.63,13.33,13.72,13.29,625842.0
2016-12-09,14.06,13.72,14.19,13.63,588429.0
2016-12-12,13.93,14.15,14.15,13.93,982710.0
2016-12-13,13.92,13.98,13.98,13.85,2901063.0
2016-12-14,13.96,13.89,13.98,13.72,2399409.0
2016-12-15,14.19,14.0,14.28,14.0,1151722.0
2016-12-16,14.06,14.19,14.2,14.06,70784.0
2016-12-19,14.23,14.1,14.23,13.96,1242469.0
2016-12-20,14.35,14.22,14.4,14.2,1128698.0
2016-12-21,14.35,14.38,14.44,14.3,607359.0
2016-12-22,14.29,14.35,14.45,14.24,526064.0
2016-12-23,14.39,14.25,14.4,14.22,35055.0
2016-12-27,15.0,14.45,15.03,14.45,149163.0
2016-12-28,15.0,15.01,15.25,14.95,121411.0
2016-12-29,15.5,15.0,15.6,15.0,414776.0
2016-12-30,15.5,15.5,15.8,15.46,72627.0
2017-01-03,15.36,15.5,15.5,15.15,3188039.0
2017-01-04,16.1,15.36,16.1,15.36,869123.0
2017-01-05,16.19,16.14,16.4,16.0,743202.0
2017-01-06,16.2,16.19,16.28,16.12,1496132.0
2017-01-09,15.9,16.2,16.3,15.9,655322.0
2017-01-10,15.85,15.91,15.95,15.84,169407.0
2017-01-11,15.67,15.85,16.25,15.58,660727.0
2017-01-12,16.0,15.74,16.0,15.69,278663.0
2017-01-13,16.45,16.04,16.65,16.04,191344.0
2017-01-17,16.85,16.58,16.89,16.4,903127.0
2017-01-18,17.05,16.85,17.1,16.77,1593415.0
2017-01-19,16.88,17.0,17.0,16.73,924984.0
2017-01-20,16.94,16.89,17.02,16.89,1252438.0
2017-01-23,16.95,16.95,17.05,16.77,1843229.0
2017-01-24,16.8,16.95,16.98,16.7,659405.0
2017-01-25,16.75,16.77,16.89,16.5,510493.0
2017-01-26,16.85,16.8,16.95,16.8,618234.0
2017-01-27,16.73,16.9,16.9,16.67,479515.0
2017-01-30,16.3,16.84,16.84,16.3,87863.0
2017-01-31,16.21,16.4,16.5,16.05,266358.0
2017-02-01,16.35,16.4,16.41,16.29,751106.0
2017-02-02,16.29,16.39,16.39,16.23,49890.0
2017-02-03,16.7,16.3,16.7,16.2,526618.0
2017-02-06,17.15,17.15,17.81,17.07,521118.0
2017-02-07,17.12,17.3,17.3,17.09,787733.0
2017-02-08,17.25,17.1,17.4,17.07,727805.0
2017-02-09,17.25,17.25,17.3,17.17,120888.0
2017-02-10,17.95,17.3,17.95,17.0,1072189.0
2017-02-13,17.75,17.85,17.9,17.5,506174.0
2017-02-14,17.7,17.75,17.77,17.67,543470.0
2017-02-15,17.65,17.72,17.75,17.65,284094.0
2017-02-16,17.4,17.7,17.7,17.4,267083.0
2017-02-17,17.35,17.4,17.4,17.15,180577.0
2017-02-21,17.13,17.35,17.35,17.1,1330908.0
2017-02-22,16.79,17.15,17.25,16.6,626760.0
2017-02-23,16.3,16.73,16.74,16.1,906874.0
2017-02-24,16.62,16.29,16.62,16.18,555502.0
2017-02-27,16.17,16.59,16.6,16.05,1063030.0
2017-02-28,16.16,16.24,16.24,16.12,82742.0
2017-03-01,16.3,16.16,16.6,16.16,151043.0
2017-03-02,16.2,16.35,16.56,16.2,201560.0
2017-03-03,16.26,16.18,16.3,16.18,550908.0
2017-03-06,16.17,16.3,16.3,16.0,1062976.0
2017-03-07,16.1,16.17,16.24,16.06,90820.0
2017-03-08,15.85,16.1,16.1,15.8,481736.0
2017-03-09,15.41,15.81,15.81,15.34,542739.0
2017-03-10,15.69,15.35,15.8,15.35,830883.0
2017-03-13,16.22,15.75,16.4,15.75,300587.0
2017-03-14,16.17,16.2,16.22,16.05,331256.0
2017-03-15,16.14,16.22,16.25,16.05,490268.0
2017-03-16,16.15,16.15,16.25,16.15,248016.0
2017-03-17,16.08,16.17,16.2,16.0,1420319.0
2017-03-20,16.2,16.09,16.22,16.08,167084.0
2017-03-21,16.0,16.24,16.24,15.95,921809.0
2017-03-22,15.85,16.0,16.0,15.8,506790.0
2017-03-23,15.73,15.97,16.0,15.73,514098.0
2017-03-24,15.8,15.75,16.0,15.74,548786.0
2017-03-27,15.85,15.78,15.87,15.77,859641.0
2017-03-28,15.9,15.84,15.96,15.84,2530935.0
2017-03-29,16.25,15.91,16.26,15.91,2384190.0
2017-03-30,16.28,16.55,16.6,15.99,3010911.0
2017-03-31,16.3,16.28,16.48,16.0,1458036.0
2017-04-03,16.35,16.49,16.5,16.0,719977.0
2017-04-04,16.49,16.31,16.49,16.31,924207.0
2017-04-05,16.48,16.46,16.53,16.42,120515.0
2017-04-06,16.41,16.5,16.5,16.38,65957.0
2017-04-07,16.25,16.4,16.46,16.07,134953.0
2017-04-10,16.25,16.29,16.3,16.23,154572.0
2017-04-11,16.15,16.24,16.25,16.07,78054.0
2017-04-12,16.0,16.12,16.12,15.98,221630.0
2017-04-13,16.17,16.0,16.21,16.0,367783.0
2017-04-17,15.98,16.19,16.22,15.9,1134150.0
2017-04-18,16.0,15.98,16.03,15.88,582826.0
2017-04-19,15.8,16.0,16.01,15.7,752586.0
2017-04-20,15.55,15.8,15.86,15.55,402134.0
2017-04-21,15.2,15.55,15.55,14.97,1231877.0
2017-04-24,15.48,15.19,15.6,15.16,344219.0
2017-04-25,15.45,15.53,15.55,15.35,614765.0
2017-04-26,15.63,15.43,15.65,15.4,640622.0
2017-04-27,15.22,15.63,15.65,15.2,536489.0
2017-04-28,14.95,15.32,15.33,14.95,628991.0
2017-05-01,14.98,15.0,15.05,14.93,530295.0
2017-05-02,14.59,15.0,15.02,14.5,735860.0
2017-05-03,14.69,14.59,14.94,14.59,771135.0
2017-05-04,14.62,14.72,14.8,14.61,692197.0
2017-05-05,15.03,14.71,15.24,14.71,1424270.0
2017-05-08,15.0,15.03,15.05,14.97,2124191.0
2017-05-09,15.01,15.0,15.02,14.97,2346660.0
2017-05-10,15.15,15.15,15.3,14.98,2299763.0
2017-05-11,15.32,15.1,15.35,15.0,3080376.0
2017-05-12,15.58,15.35,15.83,15.33,972725.0
2017-05-15,15.73,15.54,15.77,15.5,692640.0
