Date,Close,Open,High,Low,Volume
1998-05-04,15.28,15.72,15.83,15.17,1325800.0
1998-05-05,14.9,15.23,15.28,14.41,508200.0
1998-05-06,14.35,14.85,14.85,14.3,251100.0
1998-05-07,14.19,14.41,14.52,13.81,637700.0
1998-05-08,14.41,14.08,14.41,14.08,546400.0
1998-05-11,14.41,14.52,14.52,14.41,1086600.0
1998-05-12,14.52,14.46,14.57,14.46,332500.0
1998-05-13,15.01,14.85,15.06,14.74,685700.0
1998-05-14,14.79,15.01,15.01,14.68,278800.0
1998-05-15,14.3,14.74,14.79,14.3,736100.0
1998-05-18,14.3,14.3,14.46,14.25,984400.0
1998-05-19,14.41,14.3,14.57,14.3,333300.0
1998-05-20,14.25,14.41,14.46,14.19,298100.0
1998-05-21,14.41,14.3,14.46,14.14,344900.0
1998-05-22,14.14,14.3,14.3,14.08,462900.0
1998-05-26,13.75,14.14,14.25,13.65,797000.0
1998-05-27,13.86,13.75,13.92,13.65,415600.0
1998-05-28,13.92,13.75,14.14,13.75,277100.0
1998-05-29,14.08,13.97,14.08,13.86,131900.0
1998-06-01,13.92,13.97,14.03,13.86,52600.0
1998-06-02,13.86,13.92,14.03,13.86,233600.0
1998-06-03,13.65,13.81,13.86,13.43,537200.0
1998-06-04,13.54,13.59,13.65,13.48,185000.0
1998-06-05,12.94,13.54,13.54,12.88,488700.0
1998-06-08,12.88,12.83,13.1,12.66,546200.0
1998-06-09,13.1,12.83,13.32,12.55,612700.0
1998-06-10,13.15,13.1,13.32,12.77,256600.0
1998-06-11,12.88,13.15,13.32,12.77,337000.0
1998-06-12,12.72,12.83,13.1,12.66,1033000.0
1998-06-15,12.12,12.55,12.55,11.95,419800.0
1998-06-16,12.39,12.23,12.44,12.23,301400.0
1998-06-17,12.5,12.61,12.72,12.44,609100.0
1998-06-18,12.72,12.44,12.77,12.44,644200.0
1998-06-19,12.5,12.61,12.66,12.34,249900.0
1998-06-22,12.34,12.5,12.5,12.01,201900.0
1998-06-23,12.66,12.28,12.66,12.01,333700.0
1998-06-24,12.55,12.55,12.66,12.34,223100.0
1998-06-25,12.12,12.5,12.66,12.12,275600.0
1998-06-26,12.44,12.34,12.44,11.79,383900.0
1998-06-29,12.17,12.39,12.44,12.12,123600.0
1998-06-30,12.06,12.12,12.28,12.06,408600.0
1998-07-01,12.23,12.06,12.55,12.01,577200.0
1998-07-02,12.44,12.23,12.55,12.23,326600.0
1998-07-06,13.04,12.44,13.1,12.44,483100.0
1998-07-07,12.83,12.94,12.99,12.77,410700.0
1998-07-08,12.83,12.72,12.88,12.66,694700.0
1998-07-09,12.83,12.77,12.88,12.77,63700.0
1998-07-10,12.61,12.77,12.77,12.5,243900.0
1998-07-13,12.06,12.5,12.61,11.9,391100.0
1998-07-14,12.01,11.95,12.01,11.3,1056900.0
1998-07-15,11.08,11.9,11.9,10.81,1294000.0
1998-07-16,9.77,10.04,10.15,8.73,4708200.0
1998-07-17,10.04,9.61,10.1,9.55,1718600.0
1998-07-20,9.77,9.93,9.93,9.72,115500.0
1998-07-21,9.55,9.72,9.72,9.22,514000.0
1998-07-22,9.66,9.5,9.77,9.33,321300.0
1998-07-23,9.88,9.82,10.04,9.77,318200.0
1998-07-24,10.26,9.82,10.26,9.72,344000.0
1998-07-27,10.15,10.04,10.21,9.99,230600.0
1998-07-28,10.48,10.26,10.53,10.21,425500.0
1998-07-29,10.64,10.42,10.86,10.42,131300.0
1998-07-30,10.32,10.53,10.7,10.32,106700.0
1998-07-31,10.21,10.26,10.26,10.15,230300.0
1998-08-03,10.04,10.26,10.26,9.93,491300.0
1998-08-04,9.82,10.1,10.1,9.77,715700.0
1998-08-05,9.77,9.77,9.88,9.72,1302400.0
1998-08-06,9.93,9.77,10.04,9.77,311800.0
1998-08-07,10.04,9.93,10.1,9.82,149600.0
1998-08-10,9.72,9.93,9.99,9.72,334700.0
1998-08-11,9.5,9.72,9.77,9.39,662800.0
1998-08-12,9.72,9.61,9.77,9.61,110700.0
1998-08-13,10.1,10.15,10.15,9.61,112400.0
1998-08-14,10.37,10.15,10.59,9.93,282800.0
1998-08-17,10.21,10.48,10.48,10.21,149500.0
1998-08-18,10.21,10.15,10.26,10.15,114200.0
