Date,Close,Open,High,Low,Volume
1995-06-16,7.5,7.5,7.75,7.44,3105000.0
1995-06-19,7.19,7.56,7.63,7.06,764100.0
1995-06-20,7.19,7.25,7.31,7.19,431500.0
1995-06-21,7.06,7.25,7.25,7.0,314500.0
1995-06-22,7.5,7.06,7.56,7.0,273100.0
1995-06-23,7.31,7.38,7.44,7.25,182500.0
1995-06-26,7.06,7.31,7.38,7.0,257700.0
1995-06-27,7.0,7.13,7.13,7.0,135400.0
1995-06-28,7.0,7.06,7.06,7.0,250200.0
1995-06-29,7.0,7.0,7.13,7.0,154600.0
1995-06-30,7.13,7.06,7.19,7.06,47500.0
1995-07-03,7.06,7.06,7.13,7.06,4600.0
1995-07-05,7.06,7.13,7.13,7.06,37800.0
1995-07-06,7.06,7.06,7.13,7.06,40700.0
1995-07-07,7.56,7.06,7.63,7.06,237500.0
1995-07-10,7.75,7.5,7.75,7.5,120700.0
1995-07-11,8.5,7.69,8.56,7.63,269300.0
1995-07-12,9.0,8.5,9.06,8.38,248100.0
1995-07-13,8.94,9.0,9.0,8.81,192000.0
1995-07-14,8.94,8.94,8.94,8.75,51100.0
1995-07-17,9.44,9.06,9.5,9.06,240100.0
1995-07-18,9.06,9.44,9.44,9.0,179600.0
1995-07-19,8.88,9.0,9.0,8.81,50800.0
1995-07-20,8.69,8.75,8.75,8.44,59800.0
1995-07-21,8.69,8.75,8.75,8.69,6500.0
1995-07-24,8.56,8.69,8.81,8.56,56000.0
1995-07-25,8.75,8.56,8.81,8.56,100500.0
1995-07-26,9.13,8.88,9.19,8.88,143900.0
1995-07-27,9.31,9.19,9.38,9.19,50800.0
1995-07-28,9.31,9.38,9.44,9.31,50200.0
1995-07-31,9.25,9.38,9.38,9.06,30400.0
1995-08-01,9.06,9.19,9.19,9.0,28800.0
1995-08-02,8.88,9.0,9.0,8.88,20500.0
1995-08-03,8.75,8.81,8.81,8.75,6300.0
1995-08-04,8.63,8.63,8.69,8.56,4500.0
1995-08-07,8.69,8.56,8.75,8.56,6100.0
1995-08-08,8.56,8.63,8.69,8.56,1600.0
1995-08-09,8.19,8.44,8.44,8.19,12000.0
1995-08-10,8.13,8.25,8.25,8.13,3400.0
1995-08-11,8.13,8.13,8.13,8.13,5000.0
1995-08-14,8.0,8.06,8.13,7.94,14100.0
1995-08-15,8.0,8.0,8.06,8.0,4700.0
1995-08-16,8.19,8.06,8.25,8.06,5900.0
1995-08-17,8.25,8.19,8.31,8.19,3100.0
1995-08-18,8.25,8.38,8.38,8.25,4900.0
1995-08-21,8.38,8.25,8.44,8.25,4300.0
1995-08-22,8.44,8.31,8.44,8.31,6200.0
1995-08-23,8.56,8.5,8.69,8.5,14400.0
1995-08-24,8.75,8.63,8.75,8.63,8100.0
1995-08-25,8.56,8.63,8.63,8.56,15100.0
1995-08-28,8.44,8.56,8.56,8.44,4600.0
1995-08-29,8.19,8.38,8.38,8.19,4600.0
1995-08-30,8.19,8.25,8.25,8.19,700.0
1995-08-31,8.13,8.13,8.19,8.13,6900.0
1995-09-01,8.06,8.0,8.06,8.0,4600.0
1995-09-05,8.0,8.0,8.06,8.0,6100.0
1995-09-06,7.81,7.94,8.06,7.81,11700.0
1995-09-07,7.75,7.81,7.88,7.63,24400.0
1995-09-08,7.94,7.75,8.0,7.75,70100.0
1995-09-11,7.88,7.94,7.94,7.81,52000.0
1995-09-12,8.0,7.94,8.0,7.94,5500.0
1995-09-13,7.81,8.13,8.13,7.81,7300.0
1995-09-14,7.81,7.63,7.81,7.63,7400.0
1995-09-15,7.75,7.75,7.75,7.69,3100.0
1995-09-18,7.5,7.75,7.75,7.5,20800.0
1995-09-19,7.5,7.56,7.63,7.5,2500.0
1995-09-20,7.25,7.5,7.5,7.19,10400.0
1995-09-21,7.38,7.19,7.38,7.13,30500.0
1995-09-22,7.38,7.44,7.5,7.38,26700.0
1995-09-25,7.31,7.44,7.5,7.31,14100.0
1995-09-26,7.31,7.25,7.38,7.13,132500.0
1995-09-27,7.06,7.31,7.31,7.06,47600.0
1995-09-28,7.19,7.13,7.19,7.06,34300.0
1995-09-29,7.19,7.13,7.19,7.13,6100.0
1995-10-02,7.13,7.19,7.19,7.06,38700.0
1995-10-03,6.75,7.13,7.13,6.75,70700.0
1995-10-04,6.56,6.63,6.63,6.56,24500.0
1995-10-05,7.38,6.44,7.38,6.44,90200.0
1995-10-06,7.56,7.56,7.56,7.44,32400.0
1995-10-09,7.31,7.5,7.5,7.31,23100.0
1995-10-10,7.31,7.31,7.31,7.25,11400.0
1995-10-11,7.31,7.31,7.31,7.31,1700.0
1995-10-12,7.38,7.38,7.44,7.31,10100.0
1995-10-13,7.5,7.44,7.5,7.44,3400.0
1995-10-16,7.44,7.5,7.5,7.44,3700.0
1995-10-17,7.31,7.44,7.5,7.25,132400.0
1995-10-18,6.75,7.25,7.25,6.75,27200.0
1995-10-19,6.75,6.75,6.88,6.63,54400.0
1995-10-20,6.5,6.75,6.75,6.5,8500.0
1995-10-23,6.31,6.31,6.44,6.25,207400.0
1995-10-24,6.25,6.31,6.38,6.25,87200.0
1995-10-25,6.38,6.31,6.38,6.19,470800.0
1995-10-26,6.19,6.44,6.44,6.19,25000.0
1995-10-27,6.0,6.19,6.19,6.0,32200.0
1995-10-30,5.13,6.0,6.0,5.06,122200.0
1995-10-31,4.38,5.13,5.13,4.31,723100.0
1995-11-01,4.5,4.38,4.56,4.31,393500.0
1995-11-02,4.69,4.5,4.69,4.5,213900.0
1995-11-03,5.13,4.75,5.13,4.69,76700.0
1995-11-06,4.88,5.25,5.31,4.81,50100.0
1995-11-07,4.88,4.88,4.94,4.81,16300.0
1995-11-08,4.94,4.94,5.0,4.88,30400.0
