Date,Close,Open,High,Low,Volume
1995-11-17,3.78,3.75,3.81,3.75,3176500.0
1995-11-20,3.75,3.75,3.78,3.75,303300.0
1995-11-21,3.75,3.75,3.78,3.75,227400.0
1995-11-22,3.75,3.75,3.78,3.75,328700.0
1995-11-24,3.75,3.75,3.78,3.75,68800.0
1995-11-27,3.75,3.75,3.78,3.75,252900.0
1995-11-28,3.53,3.63,3.63,3.31,988000.0
1995-11-29,3.44,3.5,3.56,3.34,177100.0
1995-11-30,3.69,3.44,3.75,3.41,336500.0
1995-12-01,3.56,3.69,3.69,3.53,197700.0
1995-12-04,3.72,3.53,3.75,3.5,137000.0
1995-12-05,3.75,3.75,3.78,3.69,223200.0
1995-12-06,3.81,3.78,3.91,3.78,130300.0
1995-12-07,3.72,3.81,3.81,3.72,54400.0
1995-12-08,3.75,3.69,3.78,3.59,66300.0
1995-12-11,3.75,3.75,3.78,3.72,98100.0
1995-12-12,3.78,3.78,3.84,3.72,340800.0
1995-12-13,4.03,3.91,4.09,3.84,416000.0
1995-12-14,4.19,4.06,4.22,4.06,387900.0
1995-12-15,4.25,4.19,4.31,4.16,225700.0
1995-12-18,4.16,4.25,4.28,3.97,161600.0
1995-12-19,4.13,4.13,4.13,4.0,81100.0
1995-12-20,4.16,4.13,4.25,4.13,68500.0
1995-12-21,4.38,4.28,4.5,4.22,165000.0
1995-12-22,4.41,4.41,4.5,4.38,105700.0
1995-12-26,4.41,4.44,4.5,4.41,39200.0
1995-12-27,4.5,4.44,4.53,4.38,57600.0
1995-12-28,4.47,4.5,4.5,4.44,53300.0
1995-12-29,4.56,4.5,4.56,4.44,44900.0
1996-01-02,4.34,4.5,4.53,4.28,114200.0
1996-01-03,4.41,4.28,4.41,4.19,36900.0
1996-01-04,4.56,4.47,4.69,4.47,96300.0
1996-01-05,4.69,4.5,4.81,4.5,155200.0
1996-01-08,4.78,4.66,4.81,4.66,16900.0
1996-01-09,4.72,4.75,4.75,4.72,48100.0
1996-01-10,4.59,4.72,4.75,4.59,76400.0
1996-01-11,4.56,4.63,4.66,4.56,92300.0
1996-01-12,4.38,4.59,4.59,4.25,58000.0
1996-01-15,4.5,4.38,4.56,4.38,39500.0
1996-01-16,4.44,4.5,4.56,4.44,12900.0
1996-01-17,4.38,4.38,4.44,4.28,29300.0
1996-01-18,4.44,4.38,4.44,4.31,14000.0
1996-01-19,4.69,4.47,4.69,4.47,319800.0
1996-01-22,4.75,4.75,4.97,4.75,284600.0
1996-01-23,4.78,4.75,4.84,4.75,42600.0
1996-01-24,5.03,4.84,5.03,4.81,92800.0
1996-01-25,5.06,5.0,5.28,5.0,192800.0
1996-01-26,4.94,5.06,5.06,4.81,194100.0
1996-01-29,5.16,4.97,5.16,4.88,242700.0
1996-01-30,5.13,5.16,5.22,5.06,55600.0
1996-01-31,4.97,5.16,5.25,4.97,73500.0
1996-02-01,4.97,4.97,4.97,4.91,68400.0
1996-02-02,4.81,4.97,4.97,4.69,43900.0
1996-02-05,4.88,4.78,4.88,4.75,20100.0
1996-02-06,4.72,4.88,4.88,4.69,224600.0
1996-02-07,4.69,4.75,4.75,4.59,225200.0
1996-02-08,4.63,4.63,4.72,4.59,34200.0
1996-02-09,4.75,4.69,4.78,4.69,75700.0
1996-02-12,4.88,4.78,4.88,4.75,30700.0
1996-02-13,4.91,4.84,4.97,4.75,30600.0
1996-02-14,4.91,4.94,4.94,4.88,10300.0
1996-02-15,4.75,4.91,4.91,4.69,20900.0
1996-02-16,4.81,4.78,4.81,4.66,34500.0
1996-02-20,4.91,4.78,4.94,4.75,42100.0
1996-02-21,5.09,4.94,5.19,4.94,71200.0
1996-02-22,5.22,5.16,5.25,5.09,118200.0
1996-02-23,5.16,5.22,5.25,5.09,173600.0
1996-02-26,5.31,5.19,5.38,5.16,46100.0
1996-02-27,5.19,5.38,5.38,5.13,32800.0
1996-02-28,5.16,5.16,5.25,5.09,33600.0
1996-02-29,5.06,5.13,5.19,5.06,53100.0
1996-03-01,5.16,5.13,5.19,5.06,61500.0
1996-03-04,5.0,5.19,5.25,5.0,53000.0
1996-03-05,5.06,5.0,5.19,5.0,34300.0
1996-03-06,5.13,5.03,5.13,5.03,9300.0
1996-03-07,5.25,5.16,5.41,5.16,47700.0
1996-03-08,5.19,5.19,5.41,5.09,74600.0
1996-03-11,5.56,5.13,5.63,5.13,71700.0
1996-03-12,6.0,5.59,6.0,5.56,128400.0
1996-03-13,6.0,6.0,6.13,5.97,294800.0
1996-03-14,6.0,6.03,6.13,5.97,81700.0
1996-03-15,5.94,6.03,6.03,5.84,92500.0
1996-03-18,5.78,5.94,6.0,5.75,109900.0
1996-03-19,5.63,5.72,5.72,5.53,76100.0
1996-03-20,5.88,5.69,5.88,5.69,15400.0
1996-03-21,5.94,5.84,6.06,5.84,28000.0
1996-03-22,5.69,5.94,5.97,5.69,86300.0
1996-03-25,5.84,5.81,5.88,5.81,18500.0
1996-03-26,5.88,5.88,5.97,5.84,25800.0
1996-03-27,5.78,5.84,5.84,5.72,24900.0
1996-03-28,5.72,5.78,5.78,5.66,30800.0
1996-03-29,6.06,6.06,6.16,6.03,159400.0
1996-04-01,6.63,6.09,6.63,6.09,116600.0
1996-04-02,6.81,6.63,6.91,6.63,89300.0
1996-04-03,6.72,6.84,7.13,6.69,64900.0
1996-04-04,7.0,6.81,7.0,6.69,67600.0
1996-04-08,7.0,7.0,7.06,6.84,62300.0
1996-04-09,7.09,7.06,7.16,7.06,245300.0
1996-04-10,7.22,7.09,7.31,7.09,164600.0
1996-04-11,7.06,7.22,7.28,7.06,107500.0
1996-04-12,7.34,7.09,7.34,7.03,36000.0
1996-04-15,7.28,7.34,7.34,7.28,55000.0
1996-04-16,7.41,7.38,7.47,7.34,74600.0
1996-04-17,7.38,7.38,7.41,7.34,59700.0
1996-04-18,7.47,7.38,7.5,7.38,73600.0
1996-04-19,7.16,7.38,7.38,7.16,73100.0
1996-04-22,6.97,7.0,7.0,6.56,149600.0
1996-04-23,6.88,6.97,6.97,6.88,31900.0
1996-04-24,6.91,6.78,6.91,6.75,33400.0
1996-04-25,6.94,6.88,7.03,6.84,182600.0
1996-04-26,6.88,7.0,7.13,6.88,56300.0
1996-04-29,7.0,6.91,7.03,6.88,17200.0
1996-04-30,6.97,6.97,7.09,6.97,38500.0
1996-05-01,6.88,7.03,7.03,6.88,19800.0
1996-05-02,6.75,6.84,6.88,6.72,33000.0
