Date,Close,Open,High,Low,Volume
1980-03-17,2.19,2.19,2.44,2.19,33200.0
1980-03-18,2.19,2.19,2.44,2.19,37200.0
1980-03-19,2.13,2.13,2.38,2.13,17100.0
1980-03-20,2.19,2.19,2.44,2.19,17600.0
1980-03-21,2.13,2.13,2.38,2.13,11300.0
1980-03-24,2.0,2.0,2.25,2.0,26500.0
1980-03-25,1.94,1.94,2.19,1.94,41500.0
1980-03-26,1.94,1.94,2.19,1.94,11400.0
1980-03-27,1.75,1.75,2.0,1.75,49500.0
1980-03-28,1.94,1.94,2.19,1.94,25000.0
1980-03-31,1.94,1.94,2.19,1.94,15400.0
1980-04-01,1.88,1.88,2.13,1.88,7300.0
1980-04-02,1.88,1.88,2.13,1.88,9800.0
1980-04-03,2.0,2.0,2.25,2.0,12400.0
1980-04-07,1.94,1.94,2.19,1.94,10900.0
1980-04-08,1.88,1.88,2.13,1.88,7000.0
1980-04-09,1.94,1.94,2.19,1.94,13900.0
1980-04-10,2.0,2.0,2.25,2.0,14600.0
1980-04-11,1.94,1.94,2.19,1.94,53300.0
1980-04-14,1.94,1.94,2.19,1.94,10100.0
1980-04-15,1.94,1.94,2.19,1.94,7400.0
1980-04-16,1.88,1.88,2.13,1.88,37800.0
1980-04-17,1.81,1.81,2.06,1.81,99300.0
1980-04-18,1.88,1.88,2.13,1.88,24300.0
1980-04-21,1.75,1.75,2.0,1.75,21200.0
1980-04-22,1.81,1.81,2.06,1.81,9600.0
1980-04-23,1.81,1.81,2.06,1.81,4500.0
1980-04-24,1.81,1.81,2.06,1.81,15100.0
1980-04-25,1.81,1.81,2.06,1.81,5100.0
1980-04-28,1.88,1.88,2.13,1.88,11600.0
1980-04-29,1.88,1.88,2.13,1.88,18000.0
1980-04-30,1.88,1.88,2.13,1.88,29300.0
1980-05-01,1.88,1.88,2.13,1.88,7600.0
1980-05-02,1.88,1.88,2.13,1.88,5600.0
1980-05-05,1.94,1.94,2.19,1.94,23800.0
1980-05-06,1.81,1.81,2.06,1.81,14600.0
1980-05-07,1.81,1.81,2.06,1.81,12700.0
1980-05-08,1.81,1.81,2.06,1.81,4600.0
1980-05-09,1.75,1.75,2.0,1.75,9400.0
1980-05-12,1.75,1.75,2.0,1.75,10700.0
1980-05-13,1.75,1.75,2.0,1.75,7200.0
1980-05-14,1.75,1.75,2.0,1.75,6000.0
1980-05-15,1.81,1.81,2.06,1.81,8300.0
1980-05-16,1.88,1.88,2.13,1.88,24000.0
1980-05-19,2.0,2.0,2.25,2.0,52300.0
1980-05-20,2.0,2.0,2.25,2.0,45800.0
1980-05-21,1.94,1.94,2.19,1.94,21300.0
1980-05-22,2.13,2.13,2.38,2.13,37700.0
1980-05-23,2.19,2.19,2.44,2.19,15700.0
1980-05-27,2.19,2.19,2.44,2.19,18800.0
1980-05-28,2.31,2.31,2.56,2.31,34800.0
1980-05-29,2.25,2.25,2.5,2.25,63900.0
1980-05-30,2.19,2.19,2.44,2.19,15700.0
1980-06-02,2.19,2.19,2.44,2.19,12200.0
1980-06-03,2.13,2.13,2.38,2.13,30200.0
1980-06-04,2.06,2.06,2.31,2.06,14000.0
1980-06-05,2.06,2.06,2.31,2.06,9200.0
1980-06-06,2.06,2.06,2.31,2.06,23300.0
1980-06-09,2.0,2.0,2.25,2.0,11600.0
1980-06-10,2.0,2.0,2.25,2.0,17900.0
1980-06-11,2.0,2.0,2.25,2.0,15500.0
1980-06-12,2.06,2.06,2.31,2.06,11400.0
1980-06-13,2.0,2.0,2.25,2.0,14900.0
1980-06-16,2.0,2.0,2.25,2.0,9700.0
1980-06-17,2.0,2.0,2.25,2.0,9900.0
1980-06-18,1.94,1.94,2.19,1.94,14400.0
1980-06-19,1.94,1.94,2.19,1.94,23300.0
1980-06-20,1.88,1.88,2.13,1.88,2600.0
1980-06-23,1.94,1.94,2.19,1.94,10600.0
1980-06-24,1.88,1.88,2.13,1.88,42900.0
1980-06-25,2.0,2.0,2.25,2.0,86100.0
1980-06-26,2.0,2.0,2.25,2.0,51500.0
1980-06-27,2.13,2.13,2.38,2.13,10200.0
1980-06-30,2.13,2.13,2.38,2.13,18700.0
1980-07-01,2.0,2.0,2.25,2.0,29600.0
1980-07-02,2.0,2.0,2.25,2.0,40700.0
1980-07-03,2.19,2.19,2.44,2.19,54100.0
1980-07-07,2.25,2.25,2.31,2.25,51400.0
1980-07-08,2.19,2.19,2.31,2.19,23600.0
1980-07-09,2.25,2.25,2.31,2.25,35100.0
1980-07-10,2.38,2.38,2.44,2.38,182900.0
1980-07-11,2.5,2.5,2.63,2.5,147400.0
1980-07-14,2.63,2.63,2.75,2.63,155800.0
1980-07-15,2.63,2.63,2.69,2.63,127100.0
1980-07-16,2.63,2.63,2.69,2.63,216500.0
1980-07-17,2.69,2.69,2.75,2.69,374700.0
1980-07-18,2.81,2.81,2.88,2.81,236900.0
1980-07-21,2.94,2.94,3.06,2.94,225200.0
1980-07-22,2.94,2.94,3.0,2.94,275600.0
1980-07-23,2.94,2.94,3.0,2.94,107700.0
1980-07-24,2.75,2.75,2.81,2.75,66300.0
1980-07-25,2.81,2.81,2.88,2.81,44500.0
1980-07-28,2.81,2.81,3.0,2.81,37200.0
1980-07-29,2.94,2.94,3.0,2.94,37300.0
1980-07-30,3.0,3.0,3.06,3.0,57100.0
1980-07-31,2.94,2.94,3.0,2.94,46000.0
1980-08-01,3.0,3.0,3.06,3.0,54500.0
1980-08-04,3.0,3.0,3.06,3.0,35100.0
1980-08-05,3.06,3.06,3.19,3.06,59000.0
1980-08-06,3.25,3.25,3.31,3.25,89400.0
1980-08-07,3.38,3.38,3.44,3.38,201300.0
1980-08-08,3.63,3.63,3.75,3.63,154800.0
1980-08-11,3.63,3.63,3.69,3.63,188800.0
1980-08-12,3.44,3.44,3.5,3.44,200000.0
1980-08-13,3.81,3.81,3.94,3.81,207100.0
1980-08-14,3.94,3.94,4.0,3.94,195100.0
1980-08-15,3.94,3.94,4.0,3.94,122800.0
1980-08-18,4.56,4.56,4.63,4.56,654000.0
1980-08-19,4.19,4.19,4.31,4.19,422700.0
1980-08-20,4.5,4.5,4.63,4.5,234600.0
1980-08-21,4.69,4.69,4.75,4.69,158800.0
1980-08-22,4.75,4.75,4.81,4.75,197500.0
1980-08-25,4.75,4.75,4.81,4.75,217200.0
1980-08-26,4.81,4.81,4.88,4.81,113900.0
1980-08-27,4.75,4.75,4.81,4.75,85400.0
1980-08-28,4.75,4.75,4.81,4.75,91200.0
1980-08-29,4.75,4.75,4.81,4.75,48000.0
1980-09-02,4.75,4.75,4.81,4.75,35100.0
1980-09-03,4.88,4.88,4.94,4.88,84500.0
1980-09-04,5.25,5.25,5.31,5.25,200500.0
1980-09-05,5.44,5.44,5.5,5.44,79100.0
1980-09-08,5.5,5.5,5.56,5.5,133700.0
1980-09-09,5.5,5.5,5.56,5.5,40900.0
1980-09-10,5.88,5.88,5.94,5.88,104500.0
1980-09-11,6.13,6.13,6.19,6.13,129800.0
1980-09-12,6.38,6.38,6.5,6.38,91600.0
1980-09-15,6.38,6.38,6.5,6.38,154900.0
1980-09-16,6.0,6.0,6.06,6.0,237000.0
1980-09-17,6.25,6.25,6.31,6.25,352000.0
1980-09-18,6.44,6.44,6.5,6.44,138400.0
1980-09-19,7.19,7.19,7.31,7.19,215400.0
1980-09-22,6.94,6.94,7.0,6.94,175400.0
1980-09-23,6.5,6.5,6.63,6.5,163400.0
1980-09-24,6.38,6.38,6.44,6.38,126300.0
1980-09-25,6.19,6.19,6.25,6.19,85400.0
1980-09-26,5.75,5.75,5.81,5.75,105300.0
1980-09-29,5.25,5.25,5.38,5.25,164700.0
1980-09-30,5.69,5.69,5.75,5.69,148900.0
1980-10-01,5.81,5.81,5.88,5.81,156800.0
1980-10-02,5.81,5.81,5.94,5.81,89300.0
1980-10-03,6.44,6.44,6.56,6.44,233100.0
1980-10-06,6.81,6.81,6.88,6.81,162100.0
1980-10-07,6.63,6.63,6.75,6.63,89000.0
1980-10-08,6.75,6.75,6.81,6.75,38100.0
1980-10-09,6.81,6.81,6.88,6.81,49700.0
1980-10-10,6.88,6.88,7.0,6.88,45600.0
1980-10-13,6.88,6.88,7.0,6.88,45300.0
1980-10-14,6.88,6.88,7.0,6.88,58600.0
1980-10-15,7.06,7.06,7.13,7.06,65100.0
1980-10-16,6.88,6.88,7.06,6.88,67500.0
1980-10-17,6.75,6.75,6.88,6.75,35300.0
1980-10-20,6.69,6.69,6.81,6.69,38700.0
1980-10-21,6.38,6.38,6.5,6.38,27100.0
1980-10-22,6.75,6.75,6.88,6.75,45600.0
1980-10-23,6.88,6.88,6.94,6.88,45300.0
1980-10-24,7.31,7.31,7.38,7.31,89500.0
1980-10-27,6.69,6.69,6.88,6.69,55000.0
