Date,Close,Open,High,Low,Volume
1980-03-17,2.21,,2.22,2.19,20400.0
1980-03-18,2.24,,2.25,2.19,8200.0
1980-03-19,2.28,,2.28,2.24,18300.0
1980-03-20,2.33,,2.33,2.28,9700.0
1980-03-21,2.36,,2.38,2.36,11600.0
1980-03-24,2.28,,2.38,2.28,14400.0
1980-03-25,2.25,,2.26,2.24,33300.0
1980-03-26,2.28,,2.29,2.25,12700.0
1980-03-27,2.26,,2.28,2.25,6000.0
1980-03-28,2.25,,2.25,2.21,16000.0
1980-03-31,2.26,,2.26,2.24,20500.0
1980-04-01,2.33,,2.33,2.26,13400.0
1980-04-02,2.43,,2.43,2.36,10100.0
1980-04-03,2.54,,2.54,2.44,2800.0
1980-04-07,2.53,,2.54,2.53,3800.0
1980-04-08,2.54,,2.54,2.49,7600.0
1980-04-09,2.61,,2.63,2.54,18700.0
1980-04-10,2.68,,2.75,2.68,20400.0
1980-04-11,2.67,,2.71,2.67,19400.0
1980-04-14,2.67,,2.68,2.64,39100.0
1980-04-15,2.58,,2.65,2.58,9500.0
1980-04-16,2.72,,2.78,2.6,35900.0
1980-04-17,2.72,,2.72,2.67,34200.0
1980-04-18,2.71,,2.75,2.69,5400.0
1980-04-21,2.67,,2.71,2.67,4900.0
1980-04-22,2.68,,2.68,2.65,24100.0
1980-04-23,2.69,,2.71,2.67,64400.0
1980-04-24,2.67,,2.69,2.65,57600.0
1980-04-25,2.68,,2.68,2.64,14000.0
1980-04-28,2.69,,2.71,2.67,10200.0
1980-04-29,2.71,,2.72,2.69,35200.0
1980-04-30,2.72,,2.72,2.68,8700.0
1980-05-01,2.72,,2.72,2.68,8400.0
1980-05-02,2.64,,2.65,2.63,9500.0
1980-05-05,2.65,,2.65,2.63,7100.0
1980-05-06,2.71,,2.75,2.65,9800.0
1980-05-07,2.76,,2.78,2.72,10500.0
1980-05-08,2.71,,2.76,2.69,92900.0
1980-05-09,2.71,,2.71,2.68,5000.0
1980-05-12,2.69,,2.71,2.68,8700.0
1980-05-13,2.65,,2.68,2.64,59200.0
1980-05-14,2.67,,2.68,2.65,8500.0
1980-05-15,2.67,,2.67,2.65,11600.0
1980-05-16,2.65,,2.67,2.65,10100.0
1980-05-19,2.65,,2.67,2.64,7800.0
1980-05-20,2.69,,2.69,2.65,12400.0
1980-05-21,2.68,,2.68,2.65,10200.0
1980-05-22,2.69,,2.69,2.67,15000.0
1980-05-23,2.72,,2.72,2.68,12400.0
1980-05-27,2.71,,2.72,2.69,12800.0
1980-05-28,2.72,,2.74,2.69,23800.0
1980-05-29,2.75,,2.79,2.74,15400.0
