Date,Close,Open,High,Low,Volume
2017-12-01,67.96,67.71,68.22,67.11,2051724.0
2017-12-04,67.13,68.09,68.21,66.77,2467125.0
2017-12-05,66.12,66.99,67.25,65.97,2672598.0
2017-12-06,66.29,66.12,66.67,65.75,2226394.0
2017-12-07,66.19,66.29,67.0,65.99,2548810.0
2017-12-08,66.32,66.29,66.63,66.13,2018184.0
2017-12-11,65.92,66.28,66.3,65.69,2106824.0
2017-12-12,66.12,65.97,66.45,65.59,2458774.0
2017-12-13,66.41,66.34,66.87,66.26,2331169.0
2017-12-14,66.29,66.26,66.63,66.08,1906611.0
2017-12-15,66.94,66.62,67.25,66.39,4753461.0
2017-12-18,67.34,67.1,67.8,67.07,1622739.0
2017-12-19,64.48,67.05,67.24,64.11,4094343.0
2017-12-20,63.66,64.48,65.12,63.65,2182182.0
2017-12-21,63.48,63.81,63.97,63.26,1871878.0
2017-12-22,63.4,63.44,63.87,63.28,1586192.0
2017-12-26,63.49,63.35,64.08,63.15,1811649.0
2017-12-27,63.27,63.71,63.75,63.12,1565407.0
2017-12-28,63.72,63.28,63.74,63.06,1276879.0
2017-12-29,63.77,63.7,64.29,63.51,1378489.0
2018-01-02,64.03,63.91,64.5,63.67,1997332.0
2018-01-03,64.14,64.3,64.68,63.95,1832568.0
2018-01-04,62.76,64.11,64.15,62.73,1993539.0
2018-01-05,62.37,62.84,62.98,62.21,2003337.0
2018-01-08,62.59,62.4,62.84,62.33,1623238.0
2018-01-09,61.37,62.5,62.62,61.3,2032819.0
2018-01-10,60.71,61.08,61.2,60.7,3072933.0
2018-01-11,60.17,61.04,61.43,60.14,2414321.0
2018-01-12,59.16,60.31,60.31,58.98,2686579.0
2018-01-16,59.26,59.3,60.72,59.2,3145457.0
2018-01-17,60.11,59.58,60.19,59.01,4695959.0
2018-01-18,59.29,59.9,59.9,58.96,3496432.0
2018-01-19,59.29,59.29,59.32,58.24,3011607.0
2018-01-22,59.33,59.26,59.71,59.01,2818632.0
2018-01-23,60.32,59.67,60.51,59.28,2759326.0
2018-01-24,60.54,60.27,60.94,60.15,2368096.0
2018-01-25,60.84,60.53,60.91,60.41,2134411.0
2018-01-26,60.59,60.97,60.99,60.09,2206412.0
2018-01-29,59.52,60.15,60.23,58.99,2085468.0
2018-01-30,58.53,59.44,59.89,58.53,2444672.0
2018-01-31,59.97,58.65,60.01,58.6,4265585.0
2018-02-01,58.04,60.0,60.29,57.94,2609300.0
2018-02-02,58.45,57.57,58.82,56.89,2827526.0
2018-02-05,56.53,58.37,58.86,56.41,3525137.0
2018-02-06,57.21,55.91,57.28,55.29,3943257.0
2018-02-07,56.55,57.11,58.1,56.43,3239714.0
2018-02-08,54.67,56.36,57.21,54.66,3956558.0
2018-02-09,55.48,54.63,56.0,53.66,4303878.0
2018-02-12,54.27,54.83,54.97,53.0,4115633.0
2018-02-13,55.08,54.36,55.32,53.63,3839238.0
2018-02-14,54.15,54.54,54.72,53.43,3249046.0
2018-02-15,55.17,54.37,55.58,54.2,2908528.0
2018-02-16,55.79,55.3,56.44,55.25,4051061.0
2018-02-20,54.8,55.51,56.1,54.79,2639184.0
2018-02-21,53.99,54.9,55.05,53.85,3418186.0
2018-02-22,53.74,53.82,55.06,53.11,3324197.0
2018-02-23,54.41,53.91,54.41,53.06,2661175.0
2018-02-26,54.4,54.61,54.67,53.42,2582871.0
2018-02-27,52.22,54.35,54.71,52.22,3190327.0
2018-02-28,52.5,54.9,54.9,51.85,3342649.0
2018-03-01,52.65,52.05,53.44,51.63,2684605.0
2018-03-02,52.93,52.48,53.01,52.1,2385856.0
2018-03-05,54.07,52.65,54.21,52.65,3113707.0
2018-03-06,52.86,53.63,53.92,52.28,3070529.0
2018-03-07,53.97,52.78,54.07,52.65,2579971.0
2018-03-08,53.57,53.93,54.09,53.34,2214950.0
2018-03-09,53.56,53.71,53.71,53.06,2122424.0
2018-03-12,54.73,53.51,54.82,53.3,3202481.0
2018-03-13,53.76,55.13,55.24,53.65,2994542.0
2018-03-14,53.53,53.79,54.11,53.12,1845711.0
2018-03-15,53.75,53.64,53.95,53.5,2170371.0
2018-03-16,54.0,53.62,54.18,53.39,3609632.0
2018-03-19,53.25,53.88,54.09,52.84,1832786.0
2018-03-20,53.15,53.29,53.84,52.99,2306800.0
2018-03-21,52.45,52.94,53.2,51.87,3058221.0
2018-03-22,52.75,52.42,54.15,52.33,2715279.0
2018-03-23,52.03,52.85,53.06,51.87,2434425.0
2018-03-26,52.14,52.38,52.5,51.9,1662793.0
2018-03-27,53.28,52.14,53.95,51.72,2099491.0
2018-03-28,54.86,53.46,55.42,53.41,3770609.0
2018-03-29,54.43,54.85,54.86,54.03,2897364.0
2018-04-02,53.97,54.37,54.54,53.65,2311956.0
2018-04-03,53.75,54.16,54.16,52.8,2906410.0
2018-04-04,55.16,53.57,55.51,53.39,2637255.0
2018-04-05,54.73,55.01,55.01,53.91,2565736.0
2018-04-06,55.01,54.97,55.87,54.72,2814139.0
2018-04-09,54.49,55.01,55.01,53.96,2129041.0
2018-04-10,54.0,54.62,54.71,53.88,2183477.0
2018-04-11,53.99,53.71,54.86,53.71,1658866.0
2018-04-12,52.54,53.95,53.95,52.27,3191925.0
2018-04-13,52.63,52.35,52.63,51.82,2014691.0
2018-04-16,52.54,52.66,52.77,51.93,2629425.0
2018-04-17,53.38,52.75,53.66,52.57,2345931.0
2018-04-18,52.84,53.4,53.58,52.7,1587587.0
2018-04-19,51.92,52.71,53.0,51.27,2066668.0
2018-04-20,51.18,52.09,52.27,51.09,2146407.0
2018-04-23,50.68,51.11,51.24,50.37,2071871.0
2018-04-24,51.02,50.75,51.57,50.13,2514839.0
2018-04-25,50.52,50.75,51.02,49.58,2709182.0
2018-04-26,50.01,50.66,51.06,49.6,4997202.0
2018-04-27,52.88,50.94,53.23,50.3,4565616.0
2018-04-30,53.44,53.05,53.51,52.37,3894748.0
2018-05-01,54.86,53.56,55.33,53.36,4965920.0
2018-05-02,55.05,54.61,55.22,53.6,4050303.0
2018-05-03,55.49,55.14,56.0,54.72,2365231.0
2018-05-04,56.18,55.42,56.28,55.4,2354535.0
2018-05-07,55.71,55.38,55.76,55.1,2491642.0
2018-05-08,55.14,55.5,55.52,54.81,2927662.0
2018-05-09,55.38,54.87,55.46,54.58,2091868.0
2018-05-10,56.14,55.66,56.14,55.56,1371938.0
2018-05-11,56.25,56.2,56.5,55.77,1725807.0
2018-05-14,55.51,56.03,56.07,55.15,1805642.0
2018-05-15,54.84,55.1,55.5,54.64,2834153.0
2018-05-16,54.84,55.1,55.25,54.58,2141594.0
2018-05-17,53.93,54.82,54.82,53.78,1836833.0
2018-05-18,54.27,53.53,54.77,53.53,4423643.0
2018-05-21,55.18,54.88,55.47,53.76,1862333.0
2018-05-22,55.68,55.18,56.06,54.55,2055605.0
2018-05-23,56.78,55.91,56.97,55.85,2562850.0
2018-05-24,56.25,56.81,56.9,55.82,1737042.0
2018-05-25,56.87,56.11,56.9,56.11,1460251.0
2018-05-29,57.03,56.8,57.31,56.49,1988938.0
2018-05-30,57.54,56.88,57.8,56.49,1613971.0
2018-05-31,57.65,57.38,57.74,57.18,2165625.0
2018-06-01,58.02,57.54,58.42,57.54,1473508.0
2018-06-04,57.77,58.16,58.33,57.32,1640986.0
2018-06-05,57.41,57.98,58.2,57.39,2038162.0
2018-06-06,57.53,57.5,57.81,56.86,1377386.0
2018-06-07,57.59,57.52,57.95,57.15,1603524.0
2018-06-08,57.99,57.78,58.06,57.51,977826.0
2018-06-11,58.3,58.0,58.4,57.68,1308421.0
2018-06-12,58.31,58.01,58.6,57.91,2353726.0
2018-06-13,56.83,58.25,58.64,56.8,2362541.0
2018-06-14,57.64,57.0,57.94,57.0,1636357.0
2018-06-15,57.5,57.75,58.06,57.4,2888003.0
2018-06-18,57.0,57.4,57.76,56.6,1372073.0
2018-06-19,57.21,56.95,57.92,56.91,1861087.0
2018-06-20,58.38,57.14,58.5,57.03,1403529.0
2018-06-21,58.8,58.48,58.98,58.03,1576746.0
2018-06-22,59.05,58.8,59.21,58.38,2089092.0
2018-06-25,59.3,59.07,59.59,58.33,1716504.0
2018-06-26,59.44,59.58,59.89,59.25,2174470.0
2018-06-27,59.91,59.67,60.21,59.25,1751490.0
2018-06-28,62.36,60.02,63.45,59.56,3803737.0
2018-06-29,62.69,62.05,63.02,61.73,2995434.0
2018-07-02,62.08,62.51,62.87,61.12,2630593.0
2018-07-03,62.9,61.67,63.73,61.64,1328804.0
2018-07-05,63.83,62.8,63.93,62.12,1984301.0
2018-07-06,64.4,63.93,64.46,63.84,2047483.0
2018-07-09,63.22,64.37,64.42,62.69,1876761.0
2018-07-10,63.25,63.32,63.65,62.92,1723664.0
2018-07-11,63.09,63.27,63.57,62.85,1132500.0
2018-07-12,63.16,63.28,63.38,62.84,879129.0
2018-07-13,62.68,63.38,63.52,62.4,1172430.0
2018-07-16,62.59,62.61,62.82,61.74,1465028.0
2018-07-17,62.14,62.88,62.9,62.01,1640097.0
2018-07-18,61.8,62.04,62.38,61.32,1199360.0
2018-07-19,62.77,61.75,63.01,61.59,1405934.0
2018-07-20,63.49,62.8,63.59,62.41,2424806.0
2018-07-23,63.73,63.39,64.0,63.1,3333312.0
2018-07-24,63.24,63.65,63.65,62.46,3362391.0
2018-07-25,63.97,63.42,64.42,63.3,1619673.0
2018-07-26,64.31,64.16,64.56,63.74,1815641.0
2018-07-27,61.81,62.27,64.13,61.12,3390178.0
2018-07-30,61.7,61.78,61.8,60.74,2137647.0
2018-07-31,62.6,61.99,62.99,61.82,3830279.0
2018-08-01,62.96,62.3,63.09,61.55,1988230.0
2018-08-02,63.17,62.97,63.26,62.5,2288170.0
2018-08-03,64.32,63.29,64.71,63.16,2129336.0
2018-08-06,63.38,63.53,63.84,62.92,1479961.0
2018-08-07,63.83,63.25,63.89,63.07,2151867.0
2018-08-08,63.49,63.75,64.16,63.29,1630597.0
2018-08-09,63.46,63.61,63.94,63.36,2465240.0
2018-08-10,63.14,63.37,63.8,62.9,1933183.0
2018-08-13,63.35,62.99,63.38,62.52,1453370.0
2018-08-14,63.98,63.4,64.44,63.35,1823116.0
2018-08-15,65.34,64.04,65.61,64.04,2162287.0
2018-08-16,65.68,65.0,65.86,64.68,1949127.0
2018-08-17,66.7,65.84,66.72,65.67,2311879.0
2018-08-20,66.63,66.98,67.35,66.43,3840710.0
2018-08-21,66.39,66.6,66.68,65.96,1989146.0
2018-08-22,66.26,66.45,66.56,65.92,1324010.0
2018-08-23,65.91,66.36,66.43,65.81,1799610.0
2018-08-24,65.94,65.67,66.06,65.02,1233222.0
2018-08-27,65.91,65.94,65.99,65.34,1634533.0
2018-08-28,66.81,65.85,66.83,65.65,1477753.0
2018-08-29,66.68,66.89,67.02,66.68,1578183.0
2018-08-30,66.58,66.85,66.9,66.43,1431704.0
2018-08-31,66.71,66.65,67.16,66.36,2080196.0
2018-09-04,66.23,66.55,66.97,65.95,2825940.0
2018-09-05,67.27,65.98,67.51,65.58,1898493.0
2018-09-06,67.46,67.33,67.7,67.16,1745927.0
2018-09-07,66.39,66.89,67.02,66.28,1330866.0
2018-09-10,66.86,66.96,67.36,66.69,1809401.0
2018-09-11,66.85,66.59,67.04,66.29,1089953.0
2018-09-12,66.67,66.86,67.11,66.61,1198175.0
2018-09-13,67.15,66.99,67.33,66.55,1897759.0
2018-09-14,66.41,66.95,66.95,65.63,1778134.0
2018-09-17,66.81,66.38,66.96,65.97,2210732.0
2018-09-18,66.44,66.86,66.99,66.05,1767992.0
2018-09-19,65.49,66.49,66.49,65.37,2714812.0
2018-09-20,65.57,65.42,65.7,64.78,2465572.0
2018-09-21,65.5,65.03,65.66,64.87,3686874.0
2018-09-24,63.96,65.39,65.49,63.57,2205176.0
2018-09-25,64.55,64.15,65.07,64.0,2437352.0
2018-09-26,62.96,64.45,64.58,62.92,2025671.0
2018-09-27,63.05,63.21,63.76,63.03,1303855.0
2018-09-28,64.32,63.1,64.35,63.0,2040181.0
2018-10-01,63.3,64.1,64.23,63.29,1590134.0
2018-10-02,63.01,63.5,63.73,63.0,1419821.0
2018-10-03,61.9,62.95,63.25,61.47,2136606.0
2018-10-04,62.21,61.44,62.38,61.19,2541568.0
2018-10-05,62.24,62.22,62.89,62.09,1671524.0
2018-10-08,63.2,62.34,63.71,62.34,1971677.0
2018-10-09,63.98,63.17,64.02,62.72,2086781.0
2018-10-10,63.96,63.89,64.66,63.69,2299103.0
2018-10-11,61.73,64.03,64.03,61.65,2715740.0
2018-10-12,61.6,62.15,62.15,60.93,2462490.0
2018-10-15,61.9,61.56,62.65,61.56,1931385.0
2018-10-16,63.12,61.96,63.53,61.55,2277269.0
2018-10-17,63.39,63.09,63.72,62.92,1319090.0
2018-10-18,63.46,63.44,63.98,63.22,1310879.0
2018-10-19,64.47,63.51,64.58,63.22,1667320.0
2018-10-22,63.34,64.65,65.09,63.26,3560623.0
2018-10-23,64.18,63.33,64.74,63.33,1784463.0
2018-10-24,65.79,64.3,66.27,64.04,2358407.0
2018-10-25,66.28,65.64,66.59,65.13,2094883.0
2018-10-26,65.15,65.92,66.79,64.8,2337856.0
2018-10-29,65.98,65.64,66.16,65.42,1592300.0
2018-10-30,69.49,66.23,69.85,65.98,4266414.0
2018-10-31,66.07,67.7,68.41,66.02,4042921.0
2018-11-01,67.5,66.59,67.71,65.75,2412693.0
2018-11-02,65.86,67.29,67.29,64.43,2158366.0
2018-11-05,67.78,66.19,68.11,65.9,1719309.0
2018-11-06,69.12,67.75,69.16,67.1,3161166.0
2018-11-07,69.1,69.19,69.5,68.53,2177006.0
2018-11-08,68.58,68.2,68.66,67.6,1139005.0
2018-11-09,69.48,68.7,69.72,68.34,2133844.0
2018-11-12,69.87,69.47,70.44,69.44,1732127.0
2018-11-13,69.58,69.89,70.32,69.18,1489097.0
2018-11-14,70.1,69.87,70.39,69.55,1611143.0
2018-11-15,69.49,69.84,70.07,68.81,1429910.0
2018-11-16,70.33,69.74,70.41,69.19,2006140.0
2018-11-19,70.31,70.45,70.99,70.02,1411841.0
2018-11-20,70.29,70.15,71.27,70.15,2489569.0
2018-11-21,69.51,70.23,70.23,69.44,1766930.0
2018-11-23,69.79,69.45,70.2,68.96,586039.0
2018-11-26,69.92,70.21,70.26,69.2,1479664.0
2018-11-27,70.74,69.97,71.0,69.37,1645167.0
2018-11-28,71.35,70.58,71.35,69.76,2162732.0
2018-11-29,71.43,71.19,71.68,70.95,1780727.0
2018-11-30,72.33,71.7,72.34,71.0,3118671.0
2018-12-03,72.65,72.33,72.66,71.47,2116270.0
2018-12-04,72.13,72.62,73.88,71.95,3178845.0
2018-12-06,74.72,72.06,74.75,71.92,3319994.0
2018-12-07,73.73,74.56,74.56,72.99,3111037.0
2018-12-10,73.01,73.71,73.92,72.3,2208864.0
2018-12-11,73.05,73.2,73.85,72.94,4902217.0
2018-12-12,71.72,73.52,73.79,71.59,2233972.0
2018-12-13,72.3,71.96,72.96,71.95,1738390.0
2018-12-14,72.34,71.88,72.41,71.68,1657076.0
2018-12-17,70.72,72.52,73.44,70.38,3186320.0
2018-12-18,71.39,71.0,71.9,70.74,2452400.0
2018-12-19,71.12,71.72,72.3,70.82,2492910.0
2018-12-20,71.14,71.2,71.91,70.62,2610662.0
2018-12-21,70.41,71.09,72.85,70.41,5608743.0
2018-12-24,66.44,70.2,70.49,66.33,1128942.0
2018-12-26,69.1,66.69,69.1,65.94,1835145.0
2018-12-27,69.27,68.85,69.41,67.29,1960523.0
2018-12-28,69.37,69.8,70.33,68.48,1757180.0
2018-12-31,69.41,69.6,69.6,68.09,1416533.0
2019-01-02,67.29,68.79,68.92,66.82,2321033.0
2019-01-03,68.53,67.46,69.16,67.31,2363736.0
2019-01-04,68.28,68.95,69.25,68.03,2673243.0
2019-01-07,69.09,68.48,69.71,68.28,1623205.0
2019-01-08,70.31,69.4,70.57,69.24,1638655.0
2019-01-09,69.68,70.49,70.49,69.13,1911401.0
2019-01-10,71.24,69.51,71.36,69.46,2477883.0
2019-01-11,71.46,71.18,71.54,70.94,2054435.0
2019-01-14,71.17,71.32,71.56,70.88,1400503.0
2019-01-15,72.39,71.32,72.63,71.19,1319809.0
2019-01-16,72.59,71.89,73.12,71.89,1386744.0
2019-01-17,72.71,72.35,73.22,72.23,1648179.0
2019-01-18,73.04,72.71,73.21,72.43,1921879.0
2019-01-22,73.41,73.08,73.8,72.77,1764200.0
2019-01-23,74.17,73.25,74.2,72.95,1626165.0
2019-01-24,74.31,74.27,74.5,73.51,1451647.0
2019-01-25,74.94,74.52,75.0,74.17,1938854.0
2019-01-28,75.46,74.82,75.53,74.67,2654539.0
2019-01-29,75.99,75.6,76.0,75.03,2134721.0
2019-01-30,76.6,75.84,77.01,75.61,3124757.0
2019-01-31,77.49,76.44,77.9,75.68,4256099.0
2019-02-01,76.31,77.56,77.73,75.23,2269642.0
2019-02-04,77.15,76.11,77.15,75.57,2159199.0
2019-02-05,77.46,77.15,77.53,76.37,2089398.0
2019-02-06,76.75,77.34,77.66,76.42,1808880.0
2019-02-07,77.05,76.64,77.15,76.22,2861657.0
2019-02-08,77.21,76.53,77.24,76.26,1738150.0
2019-02-11,77.43,77.39,77.67,76.92,2136666.0
2019-02-12,76.65,77.38,77.77,76.35,2729753.0
2019-02-13,77.56,76.31,77.66,75.95,1943406.0
2019-02-14,77.47,77.66,77.9,77.01,1509626.0
2019-02-15,77.61,77.71,77.79,77.16,2907728.0
2019-02-19,76.76,77.69,77.74,76.67,2152765.0
2019-02-20,75.75,76.52,76.8,75.09,2933024.0
2019-02-21,74.44,74.81,75.1,74.14,5911780.0
2019-02-22,75.44,74.74,75.9,74.51,2693118.0
2019-02-25,74.4,75.78,75.78,74.18,3271211.0
2019-02-26,74.55,74.87,75.16,74.1,2010105.0
2019-02-27,74.54,74.02,74.64,73.11,2362608.0
2019-02-28,74.31,74.5,75.79,74.13,5700325.0
2019-03-01,74.01,74.46,74.5,72.62,3070279.0
2019-03-04,74.56,74.25,74.72,73.51,2209004.0
2019-03-05,74.86,74.49,75.35,74.49,2494715.0
2019-03-06,74.32,74.86,75.03,74.16,1748543.0
2019-03-07,75.1,74.67,75.49,74.61,2687859.0
2019-03-08,74.97,75.1,75.81,74.35,2245645.0
2019-03-11,76.47,75.18,76.49,75.18,2184655.0
2019-03-12,76.86,76.6,77.15,76.51,2230687.0
2019-03-13,77.38,77.04,77.59,77.01,2177383.0
2019-03-14,77.88,77.45,77.89,77.25,2216377.0
2019-03-15,77.29,78.0,78.24,77.04,5124393.0
2019-03-18,75.77,77.42,77.54,75.34,2857717.0
2019-03-19,75.27,75.71,75.9,75.03,2554425.0
2019-03-20,75.5,75.45,75.92,74.47,2100066.0
2019-03-21,77.67,75.47,77.67,75.28,3143945.0
2019-03-22,77.82,77.78,79.41,77.78,2896551.0
2019-03-25,78.4,77.92,78.79,77.5,1941065.0
2019-03-26,78.72,78.79,78.88,78.28,1546694.0
2019-03-27,78.07,78.57,78.89,77.87,2023426.0
2019-03-28,78.58,78.34,78.6,77.84,1945898.0
2019-03-29,77.6,78.51,78.56,77.43,2673240.0
2019-04-01,77.06,77.67,77.67,76.13,2241305.0
2019-04-02,77.64,77.24,77.7,76.25,2289627.0
2019-04-03,77.26,77.44,77.8,76.77,1471983.0
2019-04-04,76.56,77.21,77.21,76.13,1259466.0
2019-04-05,76.74,76.2,76.82,76.04,1707889.0
2019-04-08,75.75,76.94,77.13,75.72,1913589.0
2019-04-09,75.79,75.84,75.97,75.54,1594649.0
2019-04-10,76.52,76.2,76.61,75.95,1527259.0
2019-04-11,76.52,76.32,76.94,76.07,1741705.0
2019-04-12,76.47,75.82,76.47,75.28,1337405.0
2019-04-15,76.45,76.5,76.61,76.04,1073182.0
2019-04-16,73.73,76.34,76.5,73.49,1977134.0
2019-04-17,72.26,73.9,73.94,71.83,1728895.0
2019-04-18,73.24,72.51,73.46,72.07,1294499.0
2019-04-22,71.76,72.94,73.17,71.18,1990767.0
2019-04-23,72.7,72.26,73.01,71.76,1437269.0
