Date,Close,Open,High,Low,Volume
1988-06-22,4.63,,4.75,4.63,18200.0
1988-06-23,4.31,,4.5,4.31,51100.0
1988-06-24,4.38,,4.44,4.38,11800.0
1988-06-27,4.25,,4.44,4.25,13200.0
1988-06-28,4.0,,4.25,4.0,16200.0
1988-06-29,4.19,,4.25,4.19,8900.0
1988-06-30,4.44,,4.56,4.44,47300.0
1988-07-01,4.75,,4.88,4.75,29100.0
1988-07-05,4.63,,4.88,4.63,14000.0
1988-07-06,4.5,,4.69,4.5,20000.0
1988-07-07,4.5,,4.63,4.5,6900.0
1988-07-08,4.38,,4.5,4.38,9300.0
1988-07-11,4.44,,4.56,4.44,31400.0
1988-07-12,4.44,,4.63,4.44,3600.0
1988-07-13,4.5,,4.63,4.5,2800.0
1988-07-14,4.38,,4.63,4.38,26400.0
1988-07-15,4.38,,4.63,4.38,13000.0
1988-07-18,4.25,,4.5,4.25,10500.0
1988-07-19,4.13,,4.38,4.13,7500.0
1988-07-20,3.88,,4.13,3.88,31400.0
1988-07-21,4.06,,4.19,4.06,13200.0
1988-07-22,3.88,,4.13,3.88,21100.0
1988-07-25,3.88,,4.13,3.88,2000.0
1988-07-26,3.88,,4.0,3.88,26900.0
1988-07-27,3.88,,4.0,3.88,1900.0
1988-07-28,3.94,,4.06,3.94,10300.0
1988-07-29,3.94,,4.0,3.94,14200.0
1988-08-01,4.0,,4.13,4.0,19700.0
1988-08-02,3.94,,4.13,3.94,17500.0
1988-08-03,3.75,,4.0,3.75,33600.0
1988-08-04,3.69,,3.88,3.69,1300.0
1988-08-05,3.75,,3.88,3.75,2900.0
1988-08-08,3.81,,3.88,3.81,9400.0
1988-08-09,3.56,,3.69,3.56,26000.0
1988-08-10,3.25,,3.38,3.25,41100.0
1988-08-11,3.38,,3.5,3.38,8900.0
1988-08-12,3.44,,3.5,3.44,2000.0
1988-08-15,3.25,,3.38,3.25,12500.0
1988-08-16,3.13,,3.38,3.13,13700.0
1988-08-17,2.81,,2.88,2.81,43200.0
1988-08-18,2.81,,2.94,2.81,15500.0
1988-08-19,2.75,,2.88,2.75,13400.0
1988-08-22,2.63,,2.75,2.63,12400.0
1988-08-23,2.81,,2.88,2.81,21500.0
1988-08-24,2.63,,2.75,2.63,5500.0
1988-08-25,2.63,,2.75,2.63,800.0
1988-08-26,2.88,,2.94,2.88,14500.0
1988-08-29,2.81,,2.94,2.81,3900.0
1988-08-30,2.81,,2.94,2.81,1000.0
1988-08-31,2.75,,2.94,2.75,6200.0
1988-09-02,2.75,,2.94,2.75,400.0
1988-09-06,2.75,,2.88,2.75,7300.0
1988-09-07,2.38,,2.56,2.38,16400.0
1988-09-08,2.94,,3.0,2.94,102000.0
1988-09-09,3.25,,3.31,3.25,143900.0
1988-09-12,3.13,,3.25,3.13,10300.0
1988-09-13,2.88,,3.0,2.88,15500.0
1988-09-14,3.06,,3.13,3.06,18700.0
1988-09-15,3.0,,3.06,3.0,11100.0
1988-09-16,3.13,,3.19,3.13,11500.0
1988-09-19,3.06,,3.19,3.06,13100.0
1988-09-20,3.0,,3.13,3.0,7000.0
1988-09-21,3.0,,3.13,3.0,6700.0
1988-09-22,2.88,,3.0,2.88,9900.0
1988-09-23,2.94,,3.06,2.94,5900.0
1988-09-26,2.94,,3.06,2.94,2300.0
1988-09-27,2.75,,3.0,2.75,12400.0
1988-09-28,2.75,,3.0,2.75,2500.0
1988-09-29,2.81,,2.94,2.81,5600.0
1988-09-30,2.69,,2.75,2.69,17600.0
1988-10-03,2.56,,2.75,2.56,15500.0
1988-10-04,2.63,,2.81,2.63,2900.0
1988-10-05,2.56,,2.75,2.56,8600.0
1988-10-06,2.63,,2.69,2.63,19800.0
1988-10-07,2.5,,2.63,2.5,19100.0
1988-10-10,2.44,,2.56,2.44,25600.0
1988-10-11,2.44,,2.5,2.44,69700.0
1988-10-12,2.44,,2.56,2.44,7100.0
1988-10-13,2.31,,2.44,2.31,22500.0
1988-10-14,2.38,,2.5,2.38,12700.0
1988-10-17,2.31,,2.38,2.31,17200.0
1988-10-18,2.31,,2.44,2.31,7100.0
1988-10-19,2.25,,2.31,2.25,11100.0
1988-10-20,2.44,,2.5,2.44,13000.0
1988-10-21,2.38,,2.44,2.38,11400.0
1988-10-24,2.31,,2.44,2.31,18300.0
1988-10-25,2.31,,2.44,2.31,28700.0
1988-10-26,2.31,,2.44,2.31,5800.0
1988-10-27,2.25,,2.38,2.25,11200.0
1988-10-28,2.38,,2.44,2.38,26800.0
1988-10-31,2.63,,2.75,2.63,50000.0
1988-11-01,3.0,,3.13,3.0,69000.0
1988-11-02,3.06,,3.13,3.06,47500.0
1988-11-03,3.25,,3.38,3.25,39400.0
1988-11-04,3.25,,3.38,3.25,32000.0
1988-11-07,3.13,,3.19,3.13,33800.0
1988-11-08,3.0,,3.06,3.0,23500.0
1988-11-09,2.94,,3.0,2.94,36000.0
1988-11-10,2.81,,2.91,2.81,19200.0
1988-11-11,2.63,,2.75,2.63,44400.0
1988-11-14,2.63,,2.75,2.63,14600.0
1988-11-15,2.69,,2.75,2.69,31000.0
1988-11-16,2.81,,2.88,2.81,31400.0
1988-11-17,2.72,,2.78,2.72,19100.0
1988-11-18,2.63,,2.72,2.63,10800.0
1988-11-21,2.59,,2.63,2.59,13100.0
1988-11-23,2.59,,2.63,2.59,2000.0
1988-11-25,2.59,,2.63,2.59,500.0
1988-11-29,2.5,,2.59,2.5,5900.0
1988-11-30,2.63,,2.66,2.63,15200.0
1988-12-01,2.63,,2.69,2.63,16600.0
1988-12-02,2.5,,2.69,2.5,3600.0
1988-12-07,2.56,,2.66,2.56,3600.0
1988-12-08,2.56,,2.66,2.56,3400.0
1988-12-09,2.44,,2.63,2.44,9300.0
1988-12-12,2.44,,2.5,2.44,600.0
1988-12-13,2.44,,2.56,2.44,3300.0
1988-12-14,2.31,,2.44,2.31,13500.0
1988-12-15,2.31,,2.38,2.31,9700.0
