Date,Close,Open,High,Low,Volume
3/17/1980,4.22,,4.63,4.2,154200.0
3/18/1980,4.19,,4.24,3.86,302400.0
3/19/1980,4.19,,4.32,4.17,159600.0
3/20/1980,4.15,,4.3,4.12,52200.0
3/21/1980,4.19,,4.19,4.12,53200.0
3/24/1980,3.91,,4.19,3.83,49700.0
3/25/1980,3.78,,3.98,3.71,84900.0
3/26/1980,3.79,,3.96,3.76,142200.0
3/27/1980,3.74,,3.76,3.01,226500.0
3/28/1980,3.64,,3.88,3.5,74600.0
3/31/1980,3.71,,3.74,3.54,217600.0
4/1/1980,3.79,,3.83,3.67,124700.0
4/2/1980,3.91,,4.05,3.79,60800.0
4/3/1980,3.95,,3.96,3.88,53500.0
4/7/1980,4.01,,4.08,3.88,265600.0
4/8/1980,4.27,,4.29,4.01,224400.0
4/9/1980,4.32,,4.36,4.24,78500.0
4/10/1980,4.56,,4.61,4.44,179800.0
4/11/1980,4.46,,4.54,4.46,100800.0
4/14/1980,4.54,,4.58,4.32,192100.0
4/15/1980,4.42,,4.56,4.41,105400.0
4/16/1980,4.22,,4.47,4.15,53800.0
4/17/1980,3.96,,4.24,3.95,107300.0
4/18/1980,3.91,,3.98,3.86,161600.0
4/21/1980,3.84,,3.95,3.81,240900.0
4/22/1980,4.12,,4.17,4.01,265600.0
4/23/1980,4.05,,4.12,4.01,88300.0
4/24/1980,4.07,,4.08,4.01,64300.0
4/25/1980,4.19,,4.22,3.95,45900.0
4/28/1980,4.17,,4.29,4.13,70700.0
4/29/1980,4.22,,4.29,4.08,154600.0
4/30/1980,4.22,,4.25,4.15,68900.0
5/1/1980,4.17,,4.22,4.12,87700.0
5/2/1980,4.17,,4.19,4.13,29600.0
5/5/1980,4.19,,4.22,4.08,195900.0
5/6/1980,3.84,,4.19,3.83,138900.0
5/7/1980,3.74,,3.96,3.67,206900.0
5/8/1980,3.81,,3.84,3.74,76800.0
5/9/1980,3.79,,3.81,3.78,29200.0
5/12/1980,3.84,,3.84,3.78,47100.0
5/13/1980,3.78,,3.86,3.69,58900.0
5/14/1980,3.81,,3.84,3.78,71600.0
5/15/1980,3.81,,3.9,3.74,116500.0
5/16/1980,3.86,,3.86,3.79,81200.0
5/19/1980,3.86,,3.93,3.83,53500.0
5/20/1980,3.98,,4.01,3.9,77100.0
5/21/1980,4.07,,4.19,3.95,153500.0
5/22/1980,4.19,,4.22,4.08,125000.0
