Date,Close,Open,High,Low,Volume
2002-10-25,12.7,12.7,12.84,12.55,13965800.0
2002-10-28,12.7,12.7,12.74,12.66,5505900.0
2002-10-29,12.34,12.69,12.7,11.76,2235800.0
2002-10-30,12.21,12.31,12.32,11.84,905800.0
2002-10-31,12.31,12.26,12.71,12.21,298900.0
2002-11-01,12.31,12.29,12.4,12.27,268800.0
2002-11-04,12.61,12.36,12.65,12.35,1307600.0
2002-11-05,12.71,12.62,12.93,12.59,2384700.0
2002-11-06,12.69,12.72,12.89,12.69,204300.0
2002-11-07,12.74,12.77,12.85,12.07,724200.0
2002-11-08,12.63,12.71,12.73,12.53,106500.0
2002-11-11,12.41,12.69,12.69,12.35,110500.0
2002-11-12,11.68,12.43,12.44,11.58,540700.0
2002-11-13,10.84,11.77,11.81,10.51,695600.0
2002-11-14,10.83,10.87,10.99,10.62,462800.0
2002-11-15,11.28,10.84,11.29,10.82,460700.0
2002-11-18,11.89,11.31,12.74,11.3,325400.0
2002-11-19,12.3,12.07,12.5,11.74,211596.0
2002-11-20,12.12,12.27,12.3,11.94,92725.0
2002-11-21,12.55,12.25,12.55,12.25,91300.0
2002-11-22,12.35,12.55,12.56,12.21,55300.0
2002-11-25,12.63,12.5,12.69,12.36,111000.0
2002-11-26,12.44,12.64,12.64,12.44,59300.0
2002-11-27,12.21,12.6,12.6,12.21,94300.0
2002-11-29,12.52,12.48,12.59,12.3,35400.0
2002-12-02,12.12,12.64,12.65,12.06,93600.0
2002-12-03,12.08,12.21,12.21,12.02,31100.0
2002-12-04,12.3,12.16,12.3,12.02,42300.0
2002-12-05,12.97,12.65,12.99,12.46,366100.0
2002-12-06,12.87,12.84,13.07,12.68,129300.0
2002-12-09,12.69,12.98,12.99,12.57,106900.0
2002-12-10,12.69,12.69,12.88,12.63,48300.0
2002-12-11,12.94,12.79,13.08,12.71,189700.0
2002-12-12,13.42,13.08,13.48,12.96,361400.0
2002-12-13,13.28,13.41,14.05,13.21,615664.0
2002-12-16,13.36,13.43,13.74,13.34,170900.0
2002-12-17,13.17,13.58,13.58,13.0,95100.0
2002-12-18,13.01,13.18,13.27,12.75,110800.0
2002-12-19,12.45,13.18,13.18,12.21,233735.0
2002-12-20,12.78,12.5,13.08,12.39,134900.0
2002-12-23,13.13,12.78,13.27,12.7,65365.0
2002-12-24,13.19,13.28,13.58,13.01,52300.0
2002-12-26,12.94,13.34,13.34,12.66,16300.0
2002-12-27,12.69,12.98,12.98,12.65,42500.0
2002-12-30,12.79,12.79,13.05,12.69,32700.0
2002-12-31,12.8,13.04,13.18,12.79,72000.0
2003-01-02,13.18,12.7,13.18,12.69,89700.0
2003-01-03,13.08,13.18,13.28,13.01,73200.0
2003-01-06,12.98,13.08,13.24,12.98,90700.0
2003-01-07,13.0,13.05,13.2,12.89,99400.0
2003-01-08,12.72,12.8,12.89,12.46,159100.0
2003-01-09,12.69,12.77,12.82,12.55,125900.0
2003-01-10,12.69,12.77,12.79,12.65,70500.0
2003-01-13,13.02,12.79,13.02,12.69,194700.0
2003-01-14,13.13,13.02,13.29,12.98,131300.0
2003-01-15,13.35,13.28,13.35,13.12,80300.0
2003-01-16,13.58,13.35,13.58,13.13,95505.0
2003-01-17,13.16,13.48,13.68,13.15,71300.0
2003-01-21,13.4,13.21,13.58,13.14,107749.0
2003-01-22,13.92,13.41,13.96,13.26,121599.0
2003-01-23,13.91,13.96,14.45,13.87,185700.0
2003-01-24,13.67,14.06,14.06,13.62,130500.0
2003-01-27,13.8,13.67,14.15,13.64,74000.0
2003-01-28,13.92,13.87,14.06,13.67,65750.0
2003-01-29,13.7,13.86,13.97,13.67,102800.0
2003-01-30,13.45,13.67,13.84,13.44,62600.0
2003-01-31,13.43,13.58,13.63,13.34,184000.0
2003-02-03,13.32,13.46,13.54,13.31,120100.0
2003-02-04,13.26,13.18,13.27,13.04,121800.0
2003-02-05,13.23,13.28,13.39,13.04,60200.0
2003-02-06,14.06,13.44,14.31,13.28,110609.0
2003-02-07,13.62,14.06,14.22,13.47,129548.0
2003-02-10,13.39,13.73,13.81,13.38,54600.0
2003-02-11,13.97,13.47,14.2,13.39,231100.0
2003-02-12,13.61,13.97,13.97,13.61,190500.0
2003-02-13,13.65,13.71,13.84,13.62,107816.0
2003-02-14,13.99,13.63,14.15,13.53,61260.0
2003-02-18,14.11,14.01,14.15,13.73,91100.0
2003-02-19,13.95,14.05,14.15,13.63,93590.0
2003-02-20,13.73,13.82,14.05,13.67,46800.0
2003-02-21,13.73,13.85,14.01,13.6,71500.0
2003-02-24,13.67,13.85,13.9,13.65,40704.0
2003-02-25,13.85,13.72,13.91,13.46,121101.0
2003-02-26,13.62,13.87,13.87,13.49,47640.0
2003-02-27,13.62,13.67,13.72,13.53,36500.0
2003-02-28,13.89,13.67,13.95,13.52,42780.0
2003-03-03,13.75,13.77,14.0,13.63,248400.0
