Date,Close,Open,High,Low,Volume
3/17/1980,3.6,,3.7,3.6,305200.0
3/18/1980,3.69,,3.7,3.59,541000.0
3/19/1980,3.68,,3.72,3.66,362600.0
3/20/1980,3.62,,3.7,3.62,434900.0
3/21/1980,3.66,,3.72,3.63,293200.0
3/24/1980,3.56,,3.64,3.55,270900.0
3/25/1980,3.49,,3.57,3.45,486900.0
3/26/1980,3.5,,3.57,3.49,333300.0
3/27/1980,3.46,,3.48,3.38,426400.0
3/28/1980,3.56,,3.58,3.46,293000.0
3/31/1980,3.62,,3.62,3.55,219400.0
4/1/1980,3.55,,3.62,3.55,423400.0
4/2/1980,3.53,,3.57,3.53,260600.0
4/3/1980,3.55,,3.55,3.5,328900.0
4/7/1980,3.47,,3.55,3.47,241600.0
4/8/1980,3.44,,3.46,3.41,389500.0
4/9/1980,3.59,,3.59,3.47,267300.0
4/10/1980,3.6,,3.62,3.56,240600.0
4/11/1980,3.58,,3.62,3.58,255400.0
4/14/1980,3.55,,3.56,3.54,210400.0
4/15/1980,3.59,,3.61,3.55,177400.0
4/16/1980,3.53,,3.64,3.52,531400.0
4/17/1980,3.57,,3.6,3.55,279500.0
4/18/1980,3.54,,3.59,3.53,180200.0
4/21/1980,3.57,,3.58,3.54,166900.0
4/22/1980,3.7,,3.7,3.62,443800.0
4/23/1980,3.71,,3.73,3.69,275800.0
4/24/1980,3.7,,3.73,3.68,507400.0
4/25/1980,3.73,,3.73,3.69,182700.0
4/28/1980,3.76,,3.8,3.73,351800.0
4/29/1980,3.77,,3.78,3.74,216400.0
4/30/1980,3.8,,3.8,3.73,401800.0
5/1/1980,3.79,,3.83,3.79,437900.0
5/2/1980,3.79,,3.79,3.76,241900.0
5/5/1980,3.84,,3.85,3.8,380900.0
5/6/1980,3.89,,3.91,3.86,408800.0
5/7/1980,3.8,,3.81,3.77,414700.0
5/8/1980,3.78,,3.82,3.77,405700.0
5/9/1980,3.73,,3.76,3.72,263000.0
5/12/1980,3.69,,3.71,3.69,346600.0
5/13/1980,3.75,,3.77,3.7,277700.0
5/14/1980,3.79,,3.83,3.77,244000.0
5/15/1980,3.74,,3.8,3.74,232200.0
5/16/1980,3.77,,3.79,3.76,236600.0
5/19/1980,3.9,,3.91,3.78,298500.0
5/20/1980,3.89,,3.91,3.88,229900.0
5/21/1980,3.91,,3.91,3.85,261900.0
5/22/1980,3.96,,3.98,3.91,370500.0
5/23/1980,4.02,,4.04,3.98,439100.0
5/27/1980,4.08,,4.09,4.05,285400.0
5/28/1980,4.08,,4.09,4.04,409300.0
5/29/1980,3.96,,4.07,3.95,364700.0
5/30/1980,4.0,,4.0,3.91,327200.0
6/2/1980,3.98,,4.03,3.98,217100.0
6/3/1980,3.98,,4.0,3.97,175400.0
6/4/1980,4.09,,4.11,3.97,294600.0
6/5/1980,4.05,,4.13,4.05,256000.0
6/6/1980,4.07,,4.09,4.06,153200.0
6/9/1980,4.1,,4.12,4.09,284500.0
6/10/1980,4.23,,4.23,4.11,594100.0
6/11/1980,4.32,,4.33,4.17,346200.0
6/12/1980,4.31,,4.33,4.2,427700.0
6/13/1980,4.18,,4.28,4.17,289700.0
6/16/1980,4.2,,4.23,4.18,206800.0
6/17/1980,4.2,,4.23,4.19,254400.0
6/18/1980,4.3,,4.36,4.18,329600.0
6/19/1980,4.23,,4.32,4.23,284300.0
6/20/1980,4.22,,4.25,4.2,243000.0
6/23/1980,4.28,,4.3,4.23,216900.0
6/24/1980,4.27,,4.28,4.23,181400.0
6/25/1980,4.3,,4.31,4.27,299500.0
6/26/1980,4.3,,4.37,4.3,353000.0
6/27/1980,4.27,,4.31,4.26,223000.0
6/30/1980,4.14,,4.26,4.14,335500.0
7/1/1980,4.19,,4.21,4.16,277200.0
7/2/1980,4.2,,4.22,4.19,291400.0
7/3/1980,4.31,,4.31,4.23,215200.0
7/7/1980,4.31,,4.33,4.3,268400.0
7/8/1980,4.26,,4.31,4.26,236300.0
7/9/1980,4.25,,4.34,4.24,219900.0
7/10/1980,4.19,,4.24,4.19,328000.0
7/11/1980,4.26,,4.26,4.17,229800.0
7/14/1980,4.36,,4.38,4.26,188600.0
7/15/1980,4.34,,4.39,4.32,226000.0
7/16/1980,4.34,,4.38,4.33,310100.0
7/17/1980,4.43,,4.52,4.35,278200.0
7/18/1980,4.39,,4.43,4.37,336900.0
7/21/1980,4.5,,4.5,4.4,289200.0
7/22/1980,4.48,,4.55,4.48,294800.0
7/23/1980,4.51,,4.51,4.47,212200.0
7/24/1980,4.46,,4.51,4.45,358400.0
7/25/1980,4.41,,4.46,4.41,225500.0
7/28/1980,4.47,,4.47,4.38,195500.0
7/29/1980,4.51,,4.51,4.47,220300.0
7/30/1980,4.41,,4.5,4.41,431300.0
7/31/1980,4.35,,4.38,4.3,695600.0
8/1/1980,4.4,,4.43,4.34,507000.0
8/4/1980,4.38,,4.41,4.34,521700.0
8/5/1980,4.39,,4.4,4.37,324000.0
8/6/1980,4.43,,4.43,4.38,284400.0
8/7/1980,4.37,,4.37,4.34,469800.0
8/8/1980,4.36,,4.4,4.34,239800.0
8/11/1980,4.41,,4.41,4.36,378700.0
8/12/1980,4.38,,4.43,4.38,224300.0
8/13/1980,4.38,,4.41,4.38,238800.0
8/14/1980,4.47,,4.47,4.38,208800.0
8/15/1980,4.52,,4.52,4.45,377600.0
8/18/1980,4.4,,4.48,4.4,352200.0
8/19/1980,4.38,,4.43,4.38,174400.0
8/20/1980,4.44,,4.44,4.38,170000.0
8/21/1980,4.48,,4.48,4.43,170700.0
8/22/1980,4.51,,4.55,4.49,262700.0
8/25/1980,4.49,,4.51,4.47,172100.0
8/26/1980,4.49,,4.53,4.48,176500.0
8/27/1980,4.47,,4.49,4.45,246900.0
8/28/1980,4.38,,4.47,4.38,229300.0
8/29/1980,4.38,,4.38,4.34,169500.0
9/2/1980,4.42,,4.45,4.38,199400.0
9/3/1980,4.49,,4.5,4.46,218800.0
9/4/1980,4.48,,4.57,4.46,317900.0
9/5/1980,4.49,,4.5,4.48,217800.0
9/8/1980,4.39,,4.48,4.39,251600.0
9/9/1980,4.37,,4.38,4.34,284700.0
9/10/1980,4.46,,4.49,4.39,507600.0
9/11/1980,4.44,,4.48,4.41,216400.0
9/12/1980,4.39,,4.45,4.38,153200.0
9/15/1980,4.39,,4.4,4.35,229200.0
9/16/1980,4.36,,4.4,4.34,247500.0
9/17/1980,4.35,,4.38,4.35,222800.0
9/18/1980,4.34,,4.37,4.32,371900.0
9/19/1980,4.28,,4.35,4.27,385000.0
9/22/1980,4.3,,4.33,4.22,393300.0
9/23/1980,4.31,,4.38,4.3,467600.0
9/24/1980,4.45,,4.47,4.32,328500.0
9/25/1980,4.45,,4.51,4.41,336300.0
9/26/1980,4.39,,4.4,4.35,303600.0
9/29/1980,4.28,,4.35,4.27,288500.0
9/30/1980,4.36,,4.38,4.3,210300.0
10/1/1980,4.49,,4.49,4.27,526800.0
10/2/1980,4.59,,4.6,4.46,512700.0
10/3/1980,4.56,,4.61,4.56,302600.0
10/6/1980,4.7,,4.71,4.56,325100.0
10/7/1980,4.69,,4.71,4.66,196700.0
10/8/1980,4.72,,4.73,4.67,196600.0
10/9/1980,4.7,,4.78,4.7,277200.0
10/10/1980,4.69,,4.74,4.69,195600.0
10/13/1980,4.8,,4.82,4.7,132000.0
10/14/1980,4.82,,4.84,4.81,203100.0
10/15/1980,4.96,,4.97,4.82,341400.0
10/16/1980,4.9,,5.05,4.89,350100.0
10/17/1980,4.91,,4.91,4.84,299500.0
10/20/1980,4.98,,4.98,4.88,201500.0
10/21/1980,4.92,,4.98,4.88,219400.0
10/22/1980,4.9,,4.93,4.88,203600.0
10/23/1980,4.87,,4.93,4.87,177500.0
10/24/1980,4.88,,4.88,4.84,239400.0
10/27/1980,4.83,,4.87,4.83,170900.0
10/28/1980,4.84,,4.84,4.81,143800.0
10/29/1980,4.79,,4.86,4.79,374900.0
10/30/1980,4.73,,4.8,4.71,173300.0
10/31/1980,4.76,,4.78,4.7,287000.0
11/3/1980,4.92,,4.95,4.77,305400.0
11/5/1980,5.0,,5.09,5.0,515300.0
11/6/1980,4.95,,5.01,4.95,231600.0
11/7/1980,4.95,,4.97,4.94,135800.0
11/10/1980,5.0,,5.01,4.97,126500.0
11/11/1980,5.08,,5.11,5.02,233700.0
11/12/1980,5.08,,5.1,5.02,336200.0
11/13/1980,5.14,,5.14,5.08,472000.0
11/14/1980,5.17,,5.23,5.12,417700.0
11/17/1980,5.23,,5.23,5.16,269500.0
11/18/1980,5.33,,5.36,5.23,385600.0
11/19/1980,5.42,,5.53,5.33,336400.0
