Date,Close,Open,High,Low,Volume
2011-10-13,24.25,23.5,24.27,23.0,396841.0
2011-10-14,25.35,24.36,25.49,24.36,402629.0
2011-10-17,25.16,25.5,25.8,25.16,583402.0
2011-10-18,25.24,25.06,25.36,24.9,423500.0
2011-10-19,24.75,25.25,25.35,24.75,722232.0
2011-10-20,24.75,24.8,25.03,24.33,549716.0
2011-10-21,25.54,25.0,25.75,24.95,1764512.0
2011-10-24,25.77,25.5,25.85,25.5,371298.0
2011-10-25,25.75,25.88,26.08,25.0,546812.0
2011-10-26,25.02,26.09,26.09,24.86,657324.0
2011-10-27,25.62,25.25,25.95,25.25,405421.0
2011-10-28,25.82,25.5,25.82,25.25,584683.0
2011-10-31,26.74,26.25,26.74,25.25,15105988.0
2011-11-01,27.31,25.6,28.28,25.15,6095518.0
2011-11-02,26.62,27.4,27.4,25.79,2476685.0
2011-11-03,26.39,26.94,27.07,26.38,1615000.0
2011-11-04,25.19,26.17,26.59,24.88,1923266.0
2011-11-07,24.6,24.91,25.48,24.37,2703443.0
2011-11-08,24.94,25.1,25.35,24.76,2024426.0
2011-11-09,23.89,24.35,25.0,23.84,1570806.0
2011-11-10,23.65,24.48,24.71,23.52,1165905.0
2011-11-11,23.79,23.88,24.09,23.63,1266127.0
2011-11-14,23.93,23.58,24.1,23.49,1338952.0
2011-11-15,23.99,23.94,24.37,23.82,1657666.0
2011-11-16,24.12,23.95,24.6,23.78,1804502.0
2011-11-17,23.85,24.0,24.19,23.66,1279111.0
2011-11-18,23.93,23.88,24.14,23.72,1426202.0
2011-11-21,23.62,23.7,23.81,23.34,1282010.0
2011-11-22,23.63,25.02,26.14,22.67,2126367.0
2011-11-23,23.68,23.27,23.75,22.88,1009639.0
2011-11-25,23.0,23.45,23.45,22.88,991092.0
2011-11-28,23.49,23.66,24.18,23.14,1567249.0
2011-11-29,23.27,23.51,23.6,23.17,1222452.0
2011-11-30,23.9,24.06,24.2,23.33,2320784.0
2011-12-01,24.27,23.81,24.36,23.65,1046646.0
2011-12-02,24.25,25.48,25.48,24.22,1208825.0
2011-12-05,25.09,24.57,25.15,24.41,930821.0
