Date,Close,Open,High,Low,Volume
1997-09-12,5.75,5.75,5.75,5.75,100.0
1997-09-15,5.75,5.75,5.75,5.75,100.0
1997-09-16,7.19,5.75,7.19,5.75,800.0
1997-09-17,5.24,5.17,5.44,5.17,5245400.0
1997-09-18,5.42,5.3,5.42,5.26,1209900.0
1997-09-19,5.44,5.4,5.57,5.4,618300.0
1997-09-22,5.39,5.39,5.46,5.38,1048000.0
1997-09-23,5.39,5.39,5.42,5.38,492200.0
1997-09-24,5.39,5.4,5.42,5.38,462900.0
1997-09-25,5.47,5.39,5.47,5.39,180800.0
1997-09-26,5.61,5.46,5.62,5.45,294100.0
1997-09-29,5.69,5.62,5.69,5.62,307000.0
1997-09-30,5.82,5.74,6.0,5.73,833800.0
1997-10-01,5.57,5.83,5.83,5.57,633700.0
1997-10-02,5.55,5.6,5.61,5.48,336200.0
1997-10-03,5.63,5.61,5.66,5.57,371200.0
1997-10-06,5.75,5.61,5.8,5.61,1409500.0
1997-10-07,5.6,5.8,5.89,5.51,3882500.0
1997-10-08,5.52,5.6,5.62,5.48,2995100.0
1997-10-09,5.74,5.51,5.75,5.4,2308500.0
1997-10-10,5.67,5.55,5.74,5.53,1852800.0
1997-10-13,5.76,5.69,5.76,5.67,1890900.0
1997-10-14,5.73,5.72,5.83,5.71,3069200.0
1997-10-15,5.71,5.6,5.72,5.6,1626300.0
1997-10-16,5.71,5.75,5.77,5.66,1618000.0
1997-10-17,5.61,5.62,5.64,5.45,1155900.0
1997-10-20,5.8,5.58,5.83,5.58,1437000.0
1997-10-21,6.03,5.75,6.15,5.75,1657000.0
1997-10-22,5.93,5.93,6.0,5.86,1008400.0
1997-10-23,5.93,5.84,5.94,5.8,1381900.0
1997-10-24,5.93,5.94,5.98,5.83,1006200.0
1997-10-27,5.6,5.84,5.85,5.51,1204000.0
1997-10-28,5.56,5.42,5.69,5.24,837600.0
1997-10-29,5.45,5.58,5.66,5.43,594200.0
1997-10-30,5.3,5.24,5.43,5.24,881000.0
1997-10-31,5.45,5.3,5.48,5.29,958700.0
1997-11-03,5.48,5.48,5.53,5.4,980800.0
1997-11-04,5.42,5.44,5.49,5.37,1051400.0
1997-11-05,5.43,5.39,5.48,5.37,1115200.0
1997-11-06,5.69,5.44,5.75,5.42,1111700.0
1997-11-07,5.75,5.66,5.83,5.57,1088400.0
1997-11-10,6.08,5.8,6.18,5.77,985200.0
1997-11-11,6.02,5.89,6.04,5.89,741400.0
