Date,Close,Open,High,Low,Volume
2001-07-25,28.86,28.61,30.01,28.61,2439400.0
2001-07-26,27.25,28.03,28.03,27.15,2675400.0
2001-07-27,27.54,27.35,28.13,27.35,1398200.0
2001-07-30,27.6,27.54,27.69,27.54,766900.0
2001-07-31,27.73,27.6,27.78,27.57,974600.0
2001-08-01,28.61,28.12,28.95,28.12,1863700.0
2001-08-02,27.78,28.59,28.8,28.03,785000.0
2001-08-03,27.15,27.54,27.59,27.06,1204500.0
2001-08-06,26.92,27.15,27.35,26.47,1565500.0
2001-08-07,29.03,27.64,29.58,27.35,7815800.0
2001-08-08,27.82,28.8,28.85,27.2,5274500.0
2001-08-09,27.5,27.25,27.59,26.72,2997300.0
2001-08-10,27.15,27.15,27.49,26.6,3193700.0
2001-08-13,26.47,26.91,27.01,26.04,4809800.0
2001-08-14,26.86,26.47,27.25,26.38,3667700.0
2001-08-15,27.23,26.91,27.54,26.86,2622100.0
2001-08-16,27.25,27.18,27.25,26.47,2132100.0
2001-08-17,27.15,26.86,27.15,25.73,1747200.0
2001-08-20,26.38,26.81,26.88,25.99,2066600.0
2001-08-21,26.51,26.38,26.61,26.28,1870500.0
2001-08-22,26.44,26.28,26.44,25.6,2549800.0
2001-08-23,25.94,26.33,26.37,25.92,2343000.0
2001-08-24,25.88,25.46,25.91,25.26,1909700.0
2001-08-27,25.85,25.8,25.99,25.5,1461800.0
2001-08-28,25.23,25.31,25.5,25.08,2378300.0
2001-08-29,25.6,25.23,25.94,25.17,2020500.0
2001-08-30,26.13,25.6,26.47,25.6,2443000.0
2001-08-31,26.38,25.99,26.38,25.7,1448300.0
2001-09-04,26.94,26.28,27.15,26.27,1697200.0
2001-09-05,26.81,26.81,26.99,26.33,1655000.0
2001-09-06,26.42,26.72,26.77,26.18,2030900.0
2001-09-07,25.85,25.7,27.03,25.6,1748200.0
2001-09-10,25.64,25.7,26.02,25.5,1020100.0
2001-09-17,24.49,24.34,25.25,24.03,1665700.0
2001-09-18,24.34,24.49,24.59,23.95,1687700.0
2001-09-19,24.26,24.05,25.33,24.05,1494700.0
2001-09-20,24.97,24.24,25.69,24.11,1993600.0
2001-09-21,25.07,24.24,26.04,24.2,1945900.0
2001-09-24,25.89,25.02,26.23,25.02,1803600.0
2001-09-25,25.5,25.89,26.17,25.21,1586600.0
2001-09-26,25.99,25.46,26.17,25.46,1020600.0
2001-09-27,26.18,25.8,26.77,25.8,1637300.0
2001-09-28,26.91,26.18,27.15,26.13,1019000.0
2001-10-01,27.26,26.91,27.79,26.67,1090300.0
2001-10-02,27.69,27.3,27.88,27.27,1174400.0
2001-10-03,27.93,27.69,28.03,27.48,814200.0
2001-10-04,27.99,27.93,28.12,27.45,1239600.0
2001-10-05,28.17,27.83,28.32,27.69,1076400.0
2001-10-08,27.85,28.03,28.06,27.64,398600.0
2001-10-09,27.84,27.64,27.87,27.64,797100.0
2001-10-10,28.13,27.78,28.41,27.74,717100.0
2001-10-11,28.53,28.13,28.85,28.13,1052100.0
2001-10-12,28.92,28.03,28.92,28.03,1221500.0
2001-10-15,28.87,28.84,29.14,28.68,720900.0
2001-10-16,29.04,28.8,29.07,28.33,1052000.0
2001-10-17,29.06,29.07,29.13,28.85,1675400.0
2001-10-18,27.95,27.64,28.17,27.63,1677900.0
2001-10-19,28.49,27.98,28.56,27.98,590600.0
2001-10-22,28.85,28.51,28.88,28.39,466500.0
2001-10-23,28.89,28.85,29.09,28.85,1017600.0
2001-10-24,29.04,28.95,29.19,28.77,529000.0
2001-10-25,28.69,28.95,29.31,28.51,703800.0
2001-10-26,28.13,28.66,28.67,27.88,893500.0
2001-10-29,28.32,28.12,28.46,27.1,1239000.0
2001-10-30,29.19,28.8,29.58,28.56,3428500.0
2001-10-31,29.98,30.01,30.21,29.67,1543100.0
2001-11-01,30.46,30.55,30.55,29.98,821900.0
2001-11-02,30.74,30.4,31.76,30.35,947600.0
2001-11-05,30.08,30.85,30.89,29.98,1002100.0
2001-11-06,30.83,30.11,31.01,29.11,1155300.0
2001-11-07,30.81,29.67,31.23,29.63,1428500.0
2001-11-08,29.67,30.91,30.92,29.67,861200.0
2001-11-09,29.1,29.38,29.78,29.0,1209100.0
2001-11-12,29.07,29.14,29.18,28.81,663600.0
2001-11-13,29.34,29.09,29.63,29.09,772400.0
2001-11-14,29.97,29.33,30.06,29.29,931800.0
2001-11-15,29.11,30.06,30.1,29.05,995800.0
2001-11-16,29.17,29.24,29.42,29.09,814500.0
2001-11-19,29.04,29.29,29.38,27.88,1354600.0
2001-11-20,29.33,29.14,29.4,29.1,549200.0
2001-11-21,29.67,29.53,30.16,29.49,582700.0
2001-11-23,29.87,29.67,30.16,29.67,233400.0
2001-11-26,31.76,30.06,32.29,30.06,1135900.0
2001-11-27,31.58,31.75,32.1,30.69,801600.0
2001-11-28,31.57,31.52,31.94,31.47,602300.0
2001-11-29,31.61,31.13,31.82,31.06,428100.0
2001-11-30,31.28,31.27,31.45,31.18,391800.0
2001-12-03,31.23,31.3,31.44,31.02,702900.0
2001-12-04,31.61,30.98,31.61,30.5,564600.0
2001-12-05,31.69,31.52,31.86,30.06,1190600.0
2001-12-06,31.86,31.71,32.0,31.25,525200.0
2001-12-07,30.45,31.47,31.48,30.17,1158400.0
2001-12-10,30.38,30.3,30.6,30.21,371500.0
2001-12-11,29.42,29.9,29.92,29.29,792800.0
2001-12-12,29.03,29.38,29.51,28.55,1026400.0
2001-12-13,29.67,29.0,29.93,28.86,887800.0
2001-12-14,29.98,29.48,30.55,29.39,869500.0
2001-12-17,29.33,29.67,29.72,29.1,609300.0
2001-12-18,29.38,29.14,29.82,29.09,741900.0
2001-12-19,29.65,29.38,30.06,29.36,828000.0
2001-12-20,29.12,29.53,29.63,28.9,646600.0
2001-12-21,29.41,29.11,29.43,29.0,833500.0
