Date,Close,Open,High,Low,Volume
8/15/1991,4.06,4.06,4.17,3.89,2364500.0
8/16/1991,4.0,4.0,4.11,3.94,469900.0
8/19/1991,3.78,3.78,3.83,3.56,329500.0
8/20/1991,3.72,3.72,3.83,3.72,233000.0
8/21/1991,4.0,4.0,4.06,3.78,284700.0
8/22/1991,4.11,4.11,4.11,4.0,175700.0
8/23/1991,4.11,4.11,4.17,4.0,177800.0
8/26/1991,4.0,4.0,4.19,4.0,116900.0
8/27/1991,4.0,4.0,4.11,4.0,37500.0
8/28/1991,4.0,4.0,4.11,4.0,280700.0
8/29/1991,4.06,4.06,4.17,4.06,246800.0
8/30/1991,4.11,4.11,4.22,4.06,11300.0
9/3/1991,4.06,4.06,4.17,4.06,76100.0
9/4/1991,4.06,4.06,4.17,4.06,125600.0
9/5/1991,4.06,4.06,4.17,4.06,163200.0
9/6/1991,3.92,3.92,4.17,3.83,113400.0
9/9/1991,3.94,3.94,4.0,3.83,5700.0
9/10/1991,3.83,3.83,4.0,3.83,105800.0
9/11/1991,3.92,3.92,4.0,3.83,54800.0
9/12/1991,3.94,3.94,4.0,3.83,165800.0
9/13/1991,3.83,3.83,4.0,3.83,36800.0
9/16/1991,3.97,3.97,4.0,3.83,51300.0
9/17/1991,3.97,3.97,4.0,3.89,97300.0
9/18/1991,3.92,3.92,4.0,3.89,44300.0
9/19/1991,3.94,3.94,4.06,3.89,48100.0
9/20/1991,4.06,4.06,4.11,3.94,28400.0
9/23/1991,4.17,4.17,4.17,4.06,30600.0
9/24/1991,4.06,4.06,4.17,4.06,17400.0
9/25/1991,4.06,4.06,4.17,4.06,10900.0
9/26/1991,4.06,4.06,4.11,4.06,8700.0
9/27/1991,4.06,4.06,4.17,4.06,8300.0
9/30/1991,3.92,3.92,4.17,3.83,63900.0
10/1/1991,3.89,3.89,3.94,3.83,22200.0
10/2/1991,3.94,3.94,3.94,3.83,4500.0
10/3/1991,3.89,3.89,3.94,3.78,68400.0
10/4/1991,3.67,3.67,3.89,3.67,27600.0
10/7/1991,3.72,3.72,3.78,3.61,114400.0
10/8/1991,3.67,3.67,3.78,3.61,22900.0
10/9/1991,3.67,3.67,3.78,3.67,91300.0
10/10/1991,3.72,3.72,3.78,3.67,69100.0
10/11/1991,3.67,3.67,3.78,3.67,3100.0
10/14/1991,3.67,3.67,3.78,3.67,5100.0
10/15/1991,3.67,3.67,3.78,3.61,31700.0
10/16/1991,3.72,3.72,3.72,3.5,56800.0
10/17/1991,3.67,3.67,3.72,3.61,115000.0
10/18/1991,3.61,3.61,3.72,3.61,9800.0
10/21/1991,3.78,3.78,3.78,3.61,24400.0
10/22/1991,3.86,3.86,3.89,3.67,22900.0
10/23/1991,3.75,3.75,3.89,3.72,13400.0
10/24/1991,3.89,3.89,3.89,3.72,82300.0
10/25/1991,3.67,3.67,3.89,3.67,8300.0
10/28/1991,3.83,3.83,3.89,3.67,8400.0
10/29/1991,3.72,3.72,3.89,3.72,44900.0
10/30/1991,3.67,3.67,3.89,3.67,13000.0
10/31/1991,3.67,3.67,3.83,3.67,24300.0
11/1/1991,3.81,3.81,3.89,3.67,13300.0
11/4/1991,3.72,3.72,3.83,3.72,6900.0
11/5/1991,3.72,3.72,3.72,3.72,4800.0
11/6/1991,3.72,3.72,3.83,3.72,4200.0
11/7/1991,3.72,3.72,3.83,3.72,38600.0
11/8/1991,3.83,3.83,3.86,3.72,31300.0
11/11/1991,3.89,3.72,3.89,3.72,39200.0
11/12/1991,3.94,3.78,3.94,3.78,70400.0
11/13/1991,4.0,3.83,4.0,3.83,81900.0
11/14/1991,3.94,4.0,4.06,3.89,24800.0
11/15/1991,3.89,4.06,4.06,3.89,10000.0
11/18/1991,3.83,3.83,4.06,3.83,168800.0
11/19/1991,3.89,4.0,4.0,3.83,83900.0
11/20/1991,3.94,4.0,4.0,3.83,17100.0
11/21/1991,3.83,4.0,4.0,3.83,11100.0
11/22/1991,3.83,3.83,3.94,3.83,14400.0
11/25/1991,3.83,3.83,3.83,3.83,3200.0
11/26/1991,3.83,3.83,3.94,3.83,36700.0
11/27/1991,3.94,3.78,3.94,3.78,21800.0
11/29/1991,3.83,3.94,3.94,3.83,4900.0
12/2/1991,3.78,3.78,3.83,3.78,41200.0
