Date,Close,Open,High,Low,Volume
2013-02-01,31.01,31.5,31.74,30.47,66789484.0
2013-02-04,31.02,31.09,31.99,30.76,7695943.0
2013-02-05,31.04,31.25,31.98,30.85,5014316.0
2013-02-06,31.03,30.98,31.43,30.75,2126101.0
2013-02-07,32.0,31.0,32.73,31.0,3800770.0
2013-02-08,33.05,32.31,33.48,32.3,2599232.0
2013-02-11,33.26,33.06,33.5,32.88,1487115.0
2013-02-12,33.74,33.4,34.0,33.15,1637279.0
2013-02-13,33.55,33.8,33.8,33.0,1269625.0
2013-02-14,33.27,33.39,33.45,32.77,2954424.0
2013-02-15,33.98,33.31,34.09,33.0,5415665.0
2013-02-19,33.84,34.02,34.07,33.57,1206819.0
2013-02-20,32.72,33.84,33.88,32.6,1843361.0
2013-02-21,32.56,32.5,32.8,31.86,3242213.0
2013-02-22,32.59,32.78,32.93,32.5,954407.0
2013-02-25,32.07,32.68,32.69,32.0,818858.0
2013-02-26,32.04,32.05,32.4,31.99,1048603.0
2013-02-27,32.32,32.0,33.05,32.0,1343563.0
2013-02-28,33.45,32.56,33.55,32.56,2991401.0
2013-03-01,34.6,33.36,34.7,33.15,2333917.0
2013-03-04,34.35,34.8,34.89,34.24,865348.0
2013-03-05,34.29,34.41,34.48,33.75,1413387.0
2013-03-06,33.85,34.34,34.38,33.85,802112.0
2013-03-07,34.56,33.95,34.68,33.56,1319992.0
2013-03-08,34.09,34.03,34.69,33.8,1541064.0
2013-03-11,34.18,33.97,34.26,33.25,1729408.0
2013-03-12,33.82,34.12,34.25,33.6,1557570.0
2013-03-13,34.0,33.9,34.06,33.08,2240952.0
2013-03-14,34.64,34.33,35.42,34.3,1865195.0
2013-03-15,33.44,34.7,34.84,33.31,2692330.0
2013-03-18,32.84,32.75,32.94,32.64,2371964.0
2013-03-19,32.8,32.8,33.42,32.33,1336276.0
2013-03-20,33.51,32.9,33.54,32.5,1944682.0
2013-03-21,33.47,33.9,34.0,33.29,514497.0
2013-03-22,33.12,33.55,33.75,32.74,763527.0
2013-03-25,32.46,33.48,33.48,32.25,1324563.0
2013-03-26,32.51,32.73,32.79,32.0,1396456.0
2013-03-27,32.74,32.38,32.89,32.06,1896725.0
2013-03-28,33.4,32.85,33.5,32.63,7435237.0
2013-04-01,32.59,33.42,33.59,32.43,1466313.0
2013-04-02,32.55,32.66,33.13,32.46,712189.0
2013-04-03,32.53,32.67,32.98,32.36,1409612.0
